-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.     |         Ritz          |    Unc.     |    Rel. |     Aki      | Acc. |             Ei           Ek             |             Lower level              |                Upper level                |  gi   gk  |Type|      TP  |          Line  |
          |      Wavelength       |     (nm)    |      Wavelength       |     (nm)    |    Int. |    (s^-1)    |      |            (eV)         (eV)            |--------------------------------------|-------------------------------------------|           |    |     Ref. |          Ref.  |
          |       Vac (nm)        |             |       Vac (nm)        |             |         |              |      |                                         | Conf.                | Term    | J   | Conf.                | Term     | J       |           |    |          |                |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag XLVII  |                       |             |            0.04493288 |  0.00000006 |         | 8.0381e+14   | AA   |      0.000         -  (27593.20)        | 1s                   | 2S      | 1/2 | 3p                   | 2P*      | 3/2     |   2 - 4   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.04504874 |  0.00000006 |         | 7.9743e+14   | AA   |      0.000         -  (27522.24)        | 1s                   | 2S      | 1/2 | 3p                   | 2P*      | 1/2     |   2 - 2   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.05299285 |  0.00000003 |         | 2.9628e+15   | AA   |      0.000         -  (23396.402)       | 1s                   | 2S      | 1/2 | 2p                   | 2P*      | 3/2     |   2 - 4   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.05353979 |  0.00000003 |         | 3.0915e+15   | AA   |      0.000         -  (23157.392)       | 1s                   | 2S      | 1/2 | 2p                   | 2P*      | 1/2     |   2 - 2   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.2795159  |  0.0000005  |         | 2.7643e+14   | AA   | (23157.392)        -  (27593.0683)      | 2p                   | 2P*     | 1/2 | 3d                   | 2D       | 3/2     |   2 - 4   |    |    T7771 |                |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag XLVII  |                       |             |            0.2797814  |  0.0000024  |         | 1.0537e+14   | AA   | (23161.732)        -  (27593.20)        | 2s                   | 2S      | 1/2 | 3p                   | 2P*      | 3/2     |   2 - 4   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.283966   |  0.000003   |         | 1.1112e+13   | AA   | (23157.392)        -  (27523.55)        | 2p                   | 2P*     | 1/2 | 3s                   | 2S       | 1/2     |   2 - 2   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.2843346  |  0.0000025  |         | 1.1874e+14   | AA   | (23161.732)        -  (27522.24)        | 2s                   | 2S      | 1/2 | 3p                   | 2P*      | 1/2     |   2 - 2   |    |    T7771 |                |
Ag XLVII  |                       |             |            0.2938715  |  0.0000006  |         | 3.1410e+14   | AA   | (23396.402)        -  (27615.3958)      | 2p                   | 2P*     | 3/2 | 3d                   | 2D       | 5/2     |   4 - 6   |    |    T7771 |                |
