-------------------------------------------------------------------------------------------------------------------------------
Configuration      | Term   |        J |    g |                            Level (eV)   |         Uncertainty (eV) | Reference
-------------------|--------|----------|------|-----------------------------------------|--------------------------|-----------
                   |        |          |      |                                         |                          |           
4d10.5s            | 2S     |      1/2 |    2 |              0.0000000000               |                          |     L3466
                   |        |          |      |                                         |                          |           
4d10.5p            | 2P*    |      1/2 |    2 |              3.663988150                |            0.000000017   |    L12037
                   |        |      3/2 |    4 |              3.77812896                 |            0.00000003    |    L12037
                   |        |          |      |                                         |                          |           
4d9.5s2            | 2D     |      5/2 |    6 |              3.7495671196               |            0.0000000007  |     L9025
                   |        |      3/2 |    4 |              4.304015538                |            0.000000012   |    L12037
                   |        |          |      |                                         |                          |           
4d10.6s            | 2S     |      1/2 |    2 |              5.27628977                 |            0.00000012    |    L17163
                   |        |          |      |                                         |                          |           
4d10.6p            | 2P*    |      1/2 |    2 |              5.98811517                 |            0.00000025    |    L17163
                   |        |      3/2 |    4 |              6.01333411                 |            0.00000005    |     L9025
                   |        |          |      |                                         |                          |           
4d10.5d            | 2D     |      3/2 |    4 |              6.04348192                 |            0.00000025    |    L11755
                   |        |      5/2 |    6 |              6.04599260                 |            0.00000025    |    L11755
                   |        |          |      |                                         |                          |           
4d10.7s            | 2S     |      1/2 |    2 |              6.43316376                 |            0.00000012    |    L17163
                   |        |          |      |                                         |                          |           
4d10.7p            | 2P*    |      1/2 |    2 |              6.70023465                 |            0.00000025    |    L17163
                   |        |      3/2 |    4 |              6.71016219                 |            0.00000012    |    L17163
                   |        |          |      |                                         |                          |           
4d10.6d            | 2D     |      3/2 |    4 |              6.72033026                 |            0.00000025    |    L15300
                   |        |      5/2 |    6 |              6.7216253                  |            0.0000004     |    L15300
                   |        |          |      |                                         |                          |           
4d10.4f            | 2F*    |      5/2 |    6 |              6.72052988                 |            0.00000025    |    L17163
                   |        |      7/2 |    8 |              6.7205319                  |            0.0000004     |    L17163
                   |        |          |      |                                         |                          |           
4d10.8s            | 2S     |      1/2 |    2 |              6.8911962                  |            0.0000004     |    L15300
                   |        |          |      |                                         |                          |           
4d9.5s.(3D).5p     | 4P*    |      5/2 |    6 |              6.9708242                  |            0.0000005     |    L11755
                   |        |      3/2 |    4 |              7.2536442                  |            0.0000006     |    L11755
                   |        |      1/2 |    2 |              7.505687                   |            0.000012      |     L2489
                   |        |          |      |                                         |                          |           
4d10.8p            | 2P*    |      1/2 |    2 |              7.0200939                  |            0.0000004     |    L15300
                   |        |      3/2 |    4 |              7.0250187                  |            0.0000004     |    L17163
                   |        |          |      |                                         |                          |           
4d10.5f            | 2F*    |      5/2 |    6 |              7.02882229                 |            0.00000025    |    L17163
                   |        |      7/2 |    8 |              7.02883742                 |            0.00000025    |    L17163
                   |        |          |      |                                         |                          |           
4d10.7d            | 2D     |      3/2 |    4 |              7.0298832                  |            0.0000004     |    L17163
                   |        |      5/2 |    6 |              7.03058187                 |            0.00000025    |    L17163
                   |        |          |      |                                         |                          |           
4d10.5g            | 2G     |  7/2,9/2 |   18 |              7.0313379                  |            0.0000004     |    L17163
                   |        |          |      |                                         |                          |           
