---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |                       Level (eV)   |     Uncertainty (eV) |   Landé | Leading percentages                               | Reference
---------------------|-----------|-----|------|------------------------------------|----------------------|---------|---------------------------------------------------|--------------
                     |           |     |      |                                    |                      |         |                                                   |              
4d10                 | 1S        |   0 |    1 |             0.000000               |          0.000007    |         |  99                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).5s     | 2[5/2]    |   3 |    7 |             4.85621528             |          0.00000020  |   1.318 | 100                                               | L18362,L3466
                     |           |   2 |    5 |             5.05178168             |          0.00000016  |   1.119 |  85         :    15  4d9.(2D<3/2>).5s     2[3/2]  | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5s     | 2[3/2]    |   1 |    3 |             5.42340791             |          0.00000017  |   0.488 | 100                                               | L18362,L3466
                     |           |   2 |    5 |             5.70935604             |          0.00000016  |   1.028 |  85         :    14  4d9.(2D<5/2>).5s     2[5/2]  | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).5p     | 2[3/2]*   |   2 |    5 |             9.94061414             |          0.00000015  |   1.464 |  92         :     5  4d9.(2D<5/2>).5p     2[5/2]* | L18362,L3466
                     |           |   1 |    3 |            10.36824241             |                      |   1.410 |  57         :    42  4d9.(2D<3/2>).5p     2[1/2]* | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).5p     | 2[7/2]*   |   3 |    7 |            10.18799633             |          0.00000016  |   1.059 |  89         :     9  4d9.(2D<5/2>).5p     2[5/2]* | L18362,L3466
                     |           |   4 |    9 |            10.37371438             |          0.00000024  |   1.249 |  99                                               | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).5p     | 2[5/2]*   |   2 |    5 |            10.56354748             |          0.00000015  |   0.851 |  63         :    31  4d9.(2D<3/2>).5p     2[5/2]* | L18362,L3466
                     |           |   3 |    7 |            10.71975452             |          0.00000016  |   1.240 |  86         :    10  4d9.(2D<5/2>).5p     2[7/2]* | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5p     | 2[1/2]*   |   0 |    1 |            10.68000943             |          0.00000021  |         |  99                                               |       L18362
                     |           |   1 |    3 |            11.20009665             |          0.00000016  |   0.52  |  39         :    30  4d9.(2D<3/2>).5p     2[3/2]* | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5p     | 2[5/2]*   |   2 |    5 |            10.77275131             |          0.00000015  |   0.889 |  64         :    31  4d9.(2D<5/2>).5p     2[5/2]* | L18362,L3466
                     |           |   3 |    7 |            11.05129731             |          0.00000016  |   1.076 |  96                                               | L18362,L3466
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).5p     | 2[3/2]*   |   1 |    3 |            11.14562618             |          0.00000015  |   1.008 |  68         :    18  4d9.(2D<3/2>).5p     2[1/2]* | L18362,L3466
