------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed      |       Ritz        |      Rel. |    Aki     | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |    Wavelength     |    Wavelength     |      Int. |   (s^-1)   |      |        (eV)         (eV)        |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |     Air (nm)      |     Air (nm)      |           |            |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al III    |                   |         201.3959  |           |            |      |    20.781332   -     26.935588  | 2p6.4f                | 2F*     | 5/2 | 2p6.9g                | 2G      | 7/2  |   6 - 8   |    |                     |              |
Al III    |                   |         201.3984  |         * |            |      |    20.781409   -     26.935588  | 2p6.4f                | 2F*     | 7/2 | 2p6.9g                | 2G      | 9/2  |   8 - 10  |    |                     |              |
Al III    |                   |         201.3984  |         * |            |      |    20.781409   -     26.935588  | 2p6.4f                | 2F*     | 7/2 | 2p6.9g                | 2G      | 7/2  |   8 - 8   |    |                     |              |
Al II     |         201.5864  |         201.5864  |        70 |            |      |    11.821968   -     17.970406  | 3s.4s                 | 1S      | 0   | 3s.9p                 | 1P*     | 1    |   1 - 3   |    |                     |       L4575  |
Al II     |         201.6053  |         201.6052  |       150 | 9.82e+07   | C+   |    11.846618   -     17.994485  | 3s.3d                 | 3D      | 3   | 3s.8f                 | 3F*     | 4    |   7 - 9   |    |          T6298c4,LS |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al IV     |         201.619   |         201.6169  |        30 |            |      |   101.84172    -    107.98923   | 2s2.2p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).5s | 2[3/2]* | 2    |   3 - 5   |    |                     |       L2829  |
Al II     |         201.6193  |         201.6189  |        80 | 1.10e+07   | D    |    11.846618   -     17.994066  | 3s.3d                 | 3D      | 3   | 3s.8f                 | 3F*     | 3    |   7 - 7   |    |          T6298c4,LS |       L4575  |
Al II     |         201.6234  |         201.6234  |       150 | 8.73e+07   | C+   |    11.846753   -     17.994066  | 3s.3d                 | 3D      | 2   | 3s.8f                 | 3F*     | 3    |   5 - 7   |    |          T6298c4,LS |       L4575  |
Al II     |                   |         201.6288  |           | 4.32e+05   | E    |    11.846618   -     17.993766  | 3s.3d                 | 3D      | 3   | 3s.8f                 | 3F*     | 2    |   7 - 5   |    |          T6298c4,LS |              |
Al II     |         201.6334  |         201.6332  |        50 | 1.53e+07   | D    |    11.846753   -     17.993766  | 3s.3d                 | 3D      | 2   | 3s.8f                 | 3F*     | 2    |   5 - 5   |    |          T6298c4,LS |       L4575  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
