-------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |         Level (eV) |   Uncertainty (eV) | Leading percentages                       | Reference
---------------------|--------|------|------|--------------------|--------------------|-------------------------------------------|--------------
                     |        |      |      |                    |                    |                                           |              
3s2.3p               | 2P*    |  1/2 |    2 |        0.0000000   |                    |                                           |        L4714
                     |        |  3/2 |    4 |        0.0138938   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.4s               | 2S     |  1/2 |    2 |        3.1427212   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p2               | 4P     |  1/2 |    2 |        3.598072    |                    |                                           |             
                     |        |  3/2 |    4 |        3.603844    |                    |                                           |             
                     |        |  5/2 |    6 |        3.613244    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.3d               | 2D     |  3/2 |    4 |        4.0214836   |                    |  73  3s2.nd          :    21  3s.3p2 2D   |             
                     |        |  5/2 |    6 |        4.0216501   |                    |  73  3s2.nd          :    21  3s.3p2 2D   |             
                     |        |      |      |                    |                    |                                           |              
3s2.4p               | 2P*    |  1/2 |    2 |        4.0852554   |                    |                                           |             
                     |        |  3/2 |    4 |        4.0872183   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.5s               | 2S     |  1/2 |    2 |        4.6728909   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.nd               | y 2D   |  3/2 |    4 |        4.8266320   |                    |  73  3s2.nd          :    21  3s.3p2 2D   |             
                     |        |  5/2 |    6 |        4.8271968   |                    |  73  3s2.nd          :    21  3s.3p2 2D   |             
                     |        |      |      |                    |                    |                                           |              
3s2.5p               | 2P*    |  1/2 |    2 |        4.9930889   |                    |                                           |             
                     |        |  3/2 |    4 |        4.9938210   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.4f               | 2F*    |  5/2 |    6 |        5.1229514   |                    |                                           |             
                     |        |  7/2 |    8 |        5.1229524   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.6s               | 2S     |  1/2 |    2 |        5.2252410   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.4d               | 2D     |  3/2 |    4 |        5.2363166   |                    |  81  3s2.nd          :    13  3s.3p2 2D   |             
                     |        |  5/2 |    6 |        5.2368176   |                    |  81  3s2.nd          :    13  3s.3p2 2D   |             
                     |        |      |      |                    |                    |                                           |              
3s2.6p               | 2P*    |  1/2 |    2 |        5.3728582   |                    |                                           |             
                     |        |  3/2 |    4 |        5.3732134   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.5f               | 2F*    |  5/2 |    6 |        5.4343639   |                    |                                           |             
                     |        |  7/2 |    8 |        5.4343644   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.5g               | 2G     |  7/2 |    8 |        5.4398995   |                    |                                           |             
                     |        |  9/2 |   10 |        5.4398995   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.5d               | 2D     |  3/2 |    4 |        5.4759354   |                    |  87  3s2.nd          :     7  3s.3p2 2D   |             
