------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVIII  |                       |            |            0.29174932 |   0.00000005 |           |             |      |     0.0000       -  (4249.682544)   | 1s                    | 2S      | 1/2  | 5p                     | 2P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVIII  |                       |            |            0.29177047 |   0.00000005 |           |             |      |     0.0000       -  (4249.374483)   | 1s                    | 2S      | 1/2  | 5p                     | 2P*     | 1/2  |   2 - 2   |       |                    |                 |
Ar XVIII  |                       |            |            0.29873263 |   0.00000005 |           |             |      |     0.0000       -  (4150.340022)   | 1s                    | 2S      | 1/2  | 4p                     | 2P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVIII  |                       |            |            0.29877596 |   0.00000005 |           |             |      |     0.0000       -  (4149.73810)    | 1s                    | 2S      | 1/2  | 4p                     | 2P*     | 1/2  |   2 - 2   |       |                    |                 |
Ar XVII   |            0.3137     |  0.0007    |            0.3128269  |   0.0000020  |         0 |             |      |     0.0000       -  (3963.348)      | 1s2                   | 1S      | 0    | 1s.5p                  | 1P*     | 1    |   1 - 3   |       |                    |          L1845  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVIII  |                       |            |            0.31502286 |   0.00000006 |           |             |      |     0.0000       -  (3935.72073)    | 1s                    | 2S      | 1/2  | 3p                     | 2P*     | 3/2  |   2 - 4   |       |                    |                 |
Ar XVIII  |                       |            |            0.31513714 |   0.00000006 |           |             |      |     0.0000       -  (3934.29339)    | 1s                    | 2S      | 1/2  | 3p                     | 2P*     | 1/2  |   2 - 2   |       |                    |                 |
Ar XVII   |            0.3198     |  0.0005    |            0.3199687  |   0.0000020  |        13 |             |      |     0.0000       -  (3874.886)      | 1s2                   | 1S      | 0    | 1s.4p                  | 1P*     | 1    |   1 - 3   |       |                    |          L1845  |
Ar XVII   |            0.3362     |  0.0003    |            0.3365617  |   0.0000005  |        19 |             |      |     0.0000       -  (3683.848)      | 1s2                   | 1S      | 0    | 1s.3p                  | 1P*     | 1    |   1 - 3   |       |                    |          L1845  |
Ar XVII   |                       |            |            0.3368909  |   0.0000005  |           |             |      |     0.0000       -  (3680.248)      | 1s2                   | 1S      | 0    | 1s.3p                  | 3P*     | 2    |   1 - 5   | M2    |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
