---------------------------------------------------------------------------------------
Configuration          | Term      |   J |            Level (eV) |   Landé | Reference
-----------------------|-----------|-----|-----------------------|---------|-----------
                       |           |     |                       |         |           
3s2.3p6                | 1S        |   0 |          0.00000000   |         |     L2131
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).4s  | 2[3/2]*   |   2 |         11.54835433   |   1.506 |          
                       |           |   1 |         11.62359262   |   1.404 |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).4s  | 2[1/2]*   |   0 |         11.72316029   |         |          
                       |           |   1 |         11.82807106   |   1.102 |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).4p  | 2[1/2]    |   1 |         12.90701519   |   1.985 |          
                       |           |   0 |         13.27303799   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).4p  | 2[5/2]    |   3 |         13.07571560   |   1.338 |          
                       |           |   2 |         13.09487245   |   1.112 |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).4p  | 2[3/2]    |   1 |         13.15314376   |   0.838 |          
                       |           |   2 |         13.17177759   |   1.305 |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).4p  | 2[3/2]    |   1 |         13.28263891   |   0.819 |          
                       |           |   2 |         13.30222736   |   1.260 |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).4p  | 2[1/2]    |   1 |         13.32785693   |   1.380 |          
                       |           |   0 |         13.47988670   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).3d  | 2[1/2]*   |   0 |         13.8450383    |         |          
                       |           |   1 |         13.8636685    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).3d  | 2[3/2]*   |   2 |         13.9034545    |         |          
                       |           |   1 |         14.1525149    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).3d  | 2[7/2]*   |   4 |         13.9792372    |         |          
                       |           |   3 |         14.0127380    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).3d  | 2[5/2]*   |   2 |         14.0630271    |         |          
                       |           |   3 |         14.0990558    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5s  | 2[3/2]*   |   2 |         14.0682976    |         |          
                       |           |   1 |         14.0899684    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).3d  | 2[5/2]*   |   2 |         14.2136714    |         |          
                       |           |   3 |         14.2361060    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).3d  | 2[3/2]*   |   2 |         14.2340225    |         |          
                       |           |   1 |         14.3036683    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).5s  | 2[1/2]*   |   0 |         14.2410276    |         |          
                       |           |   1 |         14.2550855    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5p  | 2[1/2]    |   1 |         14.46399565   |   1.90  |          
                       |           |   0 |         14.57594866   |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).5p  | 2[5/2]    |   3 |         14.49905352   |         |          
                       |           |   2 |         14.50606752   |   1.09  |          
                       |           |     |                       |         |           
