--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
-------------------|--------|------|----------------------|---------|-----------
                   |        |      |                      |         |           
3s2.3p5            | 2P*    |  3/2 |         0.00000000   |         |    L15349
                   |        |  1/2 |         0.17749368   |         |    L15349
                   |        |      |                      |         |           
3s.3p6             | 2S     |  1/2 |        13.4797525    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).3d    | 4D     |  7/2 |        16.40650172   |         |    L15349
                   |        |  5/2 |        16.42557609   |         |    L15349
                   |        |  3/2 |        16.44411432   |         |    L15349
                   |        |  1/2 |        16.45737768   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4s    | 4P     |  5/2 |        16.64385425   |   1.598 |    L15349
                   |        |  3/2 |        16.74852877   |   1.722 |    L15349
                   |        |  1/2 |        16.81247211   |   2.650 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4s    | 2P     |  3/2 |        17.14002730   |   1.334 |    L15349
                   |        |  1/2 |        17.26583338   |   0.676 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).3d    | 4F     |  9/2 |        17.62885618   |         |    L15349
                   |        |  7/2 |        17.69466466   |         |    L15349
                   |        |  5/2 |        17.74309086   |         |    L15349
                   |        |  3/2 |        17.77579247   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).3d    | 2P     |  1/2 |        17.94175095   |         |    L15349
                   |        |  3/2 |        18.06063973   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).3d    | 4P     |  1/2 |        18.25395187   |         |    L15349
                   |        |  3/2 |        18.28805513   |         |    L15349
                   |        |  5/2 |        18.33428069   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).4s    | 2D     |  3/2 |        18.42654895   |   0.803 |    L15349
                   |        |  5/2 |        18.45411386   |   1.202 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).3d    | 2F     |  7/2 |        18.49586888   |         |    L15349
                   |        |  5/2 |        18.61594234   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).3d    | 2D     |  3/2 |        18.65652090   |         |    L15349
                   |        |  5/2 |        18.73243921   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).3d    | 2G     |  9/2 |        19.11606881   |         |    L15349
                   |        |  7/2 |        19.11886215   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4p    | 4P*    |  5/2 |        19.22290199   |   1.599 |    L15349
                   |        |  3/2 |        19.26108400   |   1.720 |    L15349
                   |        |  1/2 |        19.30534474   |   2.638 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4p    | 4D*    |  7/2 |        19.49453372   |   1.427 |    L15349
                   |        |  5/2 |        19.54901161   |   1.334 |    L15349
                   |        |  3/2 |        19.61030772   |   1.199 |    L15349
                   |        |  1/2 |        19.64258190   |   0.000 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).4p    | 2D*    |  5/2 |        19.68004879   |   1.241 |    L15349
                   |        |  3/2 |        19.76226091   |   0.918 |    L15349
                   |        |      |                      |         |           
