-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |            Rel. |     Aki     | Acc. |           Ei           Ek         |         Lower level          |              Upper level               |  gi   gk  |Type|                   TP  |             Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |            Int. |   (s^-1)    |      |          (eV)         (eV)        |------------------------------|----------------------------------------|           |    |                  Ref. |             Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |                 |             |      |                                   | Conf.           | Term | J   | Conf.                 | Term    | J    |           |    |                       |                   |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          199.9953   |  0.0010   |                 | 1.50e-03    | B    |    6.492688      -    12.690036   | 1s2.2s.2p       | 3P*  | 0   | 1s2.2s.2p             | 1P*     | 1    |   1 - 3   | M1 |           T4492,T3474 |                   |
C III     |                     |           |          200.0901   |  0.0010   |                 | 3.30e-03    | E    |    6.495625      -    12.690036   | 1s2.2s.2p       | 3P*  | 1   | 1s2.2s.2p             | 1P*     | 1    |   3 - 3   | M1 |           T4492,T3474 |                   |
C III     |                     |           |          200.0901   |  0.0010   |                 | 6.01e-05    | D    |    6.495625      -    12.690036   | 1s2.2s.2p       | 3P*  | 1   | 1s2.2s.2p             | 1P*     | 1    |   3 - 3   | E2 |                 T4586 |                   |
C III     |                     |           |          200.3161   |  0.0010   |                 | 1.87e-03    | B    |    6.502613      -    12.690036   | 1s2.2s.2p       | 3P*  | 2   | 1s2.2s.2p             | 1P*     | 1    |   5 - 3   | M1 |           T4492,T3474 |                   |
C III     |                     |           |          200.3161   |  0.0010   |                 | 4.91e-05    | D    |    6.502613      -    12.690036   | 1s2.2s.2p       | 3P*  | 2   | 1s2.2s.2p             | 1P*     | 1    |   5 - 3   | E2 |                 T4586 |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C III     |                     |           |          200.9335   |  0.0010   |                 | 7.69e+07    | B    |   32.199384      -    38.367799   | 1s2.2s.3p       | 3P*  | 0   | 1s2.2s.4s             | 3S      | 1    |   1 - 3   |    |               T5633LS |                   |
C III     |                     |           |          200.9564   |  0.0010   |                 | 2.30e+08    | B    |   32.200087      -    38.367799   | 1s2.2s.3p       | 3P*  | 1   | 1s2.2s.4s             | 3S      | 1    |   3 - 3   |    |               T5633LS |                   |
C III     |                     |           |          201.0093   |  0.0010   |                 | 3.84e+08    | B    |   32.201709      -    38.367799   | 1s2.2s.3p       | 3P*  | 2   | 1s2.2s.4s             | 3S      | 1    |   5 - 3   |    |               T5633LS |                   |
C II      |                     |           |          201.7925   |  0.0010   |                 | 1.32e+07    | B    |   16.331740      -    22.473901   | 2s2.3p          | 2P*  | 1/2 | 2s2.6s                | 2S      | 1/2  |   2 - 2   |    |               T5109LS |                   |
