------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |       Level (eV) |   Uncertainty (eV) | Reference
---------------------|--------|------|------|------------------|--------------------|-----------
                     |        |      |      |                  |                    |           
2s2.2p               | 2P*    |  1/2 |    2 |       0.000000   |                    |     L7288
                     |        |  3/2 |    4 |       0.007863   |                    |          
                     |        |      |      |                  |                    |           
2s.2p2               | 4P     |  1/2 |    2 |       5.33173    |                    |          
                     |        |  3/2 |    4 |       5.33446    |                    |          
                     |        |  5/2 |    6 |       5.33797    |                    |          
                     |        |      |      |                  |                    |           
2s.2p2               | 2D     |  5/2 |    6 |       9.290148   |                    |          
                     |        |  3/2 |    4 |       9.290461   |                    |          
                     |        |      |      |                  |                    |           
2s.2p2               | 2S     |  1/2 |    2 |      11.963699   |                    |          
                     |        |      |      |                  |                    |           
2s.2p2               | 2P     |  1/2 |    2 |      13.715649   |                    |          
                     |        |  3/2 |    4 |      13.720781   |                    |          
                     |        |      |      |                  |                    |           
2s2.3s               | 2S     |  1/2 |    2 |      14.448827   |                    |          
                     |        |      |      |                  |                    |           
2s2.3p               | 2P*    |  1/2 |    2 |      16.331740   |                    |          
                     |        |  3/2 |    4 |      16.333123   |                    |          
                     |        |      |      |                  |                    |           
2p3                  | 4S*    |  3/2 |    4 |      17.60912    |                    |          
                     |        |      |      |                  |                    |           
2s2.3d               | 2D     |  3/2 |    4 |      18.045809   |                    |          
                     |        |  5/2 |    6 |      18.045987   |                    |          
                     |        |      |      |                  |                    |           
2p3                  | 2D*    |  5/2 |    6 |      18.654858   |                    |          
                     |        |  3/2 |    4 |      18.655492   |                    |          
                     |        |      |      |                  |                    |           
2s2.4s               | 2S     |  1/2 |    2 |      19.494540   |                    |          
                     |        |      |      |                  |                    |           
2s2.4p               | 2P*    |  1/2 |    2 |      20.149650   |                    |          
                     |        |  3/2 |    4 |      20.150478   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3s       | 4P*    |  1/2 |    2 |      20.701286   |                    |          
                     |        |  3/2 |    4 |      20.704212   |                    |          
                     |        |  5/2 |    6 |      20.709788   |                    |          
                     |        |      |      |                  |                    |           
2s2.4d               | 2D     |  3/2 |    4 |      20.844687   |                    |          
                     |        |  5/2 |    6 |      20.844775   |                    |          
                     |        |      |      |                  |                    |           
2p3                  | 2P*    |  1/2 |    2 |      20.919795   |                    |          
                     |        |  3/2 |    4 |      20.922123   |                    |          
                     |        |      |      |                  |                    |           
2s2.4f               | 2F*    |  5/2 |    6 |      20.950644   |                    |          
                     |        |  7/2 |    8 |      20.950644   |                    |          
                     |        |      |      |                  |                    |           
2s2.5s               | 2S     |  1/2 |    2 |      21.492393   |                    |          
                     |        |      |      |                  |                    |           
2s2.5p               | 2P*    |  1/2 |    2 |      21.732866   |                    |          
                     |        |  3/2 |    4 |      21.733779   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).3s       | 2P*    |  1/2 |    2 |      22.041240   |                    |          
                     |        |  3/2 |    4 |      22.043589   |                    |          
                     |        |      |      |                  |                    |           
2s2.5d               | 2D     |  3/2 |    4 |      22.130573   |                    |          
                     |        |  5/2 |    6 |      22.130647   |                    |          
