----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl VIII   |                 |          4.9487 |        | 1.50e+11   | D    |   0.0000      -   250.5386     | 2s2.2p6          | 1S   | 0   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 1   |   1 - 3   |    |                 T1210 |         |
Cl VIII   |                 |          5.0074 |        | 1.4e+12    | D    |   0.0000      -   247.6014     | 2s2.2p6          | 1S   | 0   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]* | 1   |   1 - 3   |    |                 T1210 |         |
Cl VIII   |                 |          5.0700 |        | 4.5e+09    | E    |   0.0000      -   244.5452     | 2s2.2p6          | 1S   | 0   | 2s2.2p5.(2P*<3/2>).3d | 2[1/2]* | 1   |   1 - 3   |    |                 T1210 |         |
Cl VIII   |                 |          5.8673 |        | 9.70e+10   | D    |   0.0000      -   211.3137     | 2s2.2p6          | 1S   | 0   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   |   1 - 3   |    |                 T1210 |         |
Cl VIII   |                 |          5.9191 |        | 2.80e+10   | E    |   0.0000      -   209.4651     | 2s2.2p6          | 1S   | 0   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   |   1 - 3   |    |                 T1210 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl IX     |                 |         18.0709 |        | 3.60e+10   | D    |   0.0000      -    68.6099     | 2s2.2p5          | 2P*  | 3/2 | 2s.2p6                | 2S      | 1/2 |   4 - 2   |    |                T833LS |         |
Cl IX     |                 |         18.5272 |        | 1.80e+10   | D    |   1.6898      -    68.6099     | 2s2.2p5          | 2P*  | 1/2 | 2s.2p6                | 2S      | 1/2 |   2 - 2   |    |                T833LS |         |
Cl VII    |                 |         19.6123 |        | 5.9e+09    | C    |   0.0000      -    63.2177     | 2p6.3s           | 2S   | 1/2 | 2p6.4p                | 2P*     | 3/2 |   2 - 4   |    |                T998LS |         |
Cl VII    |                 |         19.6388 |        | 5.9e+09    | C    |   0.0000      -    63.1324     | 2p6.3s           | 2S   | 1/2 | 2p6.4p                | 2P*     | 1/2 |   2 - 2   |    |                T998LS |         |
Cl X      |                 |         20.5384 |        | 1.80e+10   | D    |   0.0000      -    60.3672     | 2s2.2p4          | 3P   | 2   | 2s.2p5                | 3P*     | 2   |   5 - 5   |    |                T833LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
