----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |                      Level (eV)   |   Uncertainty (eV) |      Landé | Leading percentages                                       | Reference
-------------------|--------|------|------|-----------------------------------|--------------------|------------|-----------------------------------------------------------|-----------
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p5            | 2P*    |  3/2 |    4 |           0.00000000              |                    |   1.333925 |  95                      :     1  3s.3p5.(1P*).nd    2P*  |      L298
                   |        |  1/2 |    2 |           0.10939764              |                    |   0.665662 |  95                      :     1  3s.3p5.(1P*).nd    2P*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).4s    | 4P     |  5/2 |    6 |           8.9217000               |                    |   1.599    | 100                                                       |          
                   |        |  3/2 |    4 |           8.9874370               |                    |   1.722    |  98                      :     2  3s2.3p4.(3P).4s    2P   |          
                   |        |  1/2 |    2 |           9.0294019               |                    |   2.652    |  99                      :     1  3s2.3p4.(3P).4s    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).4s    | 2P     |  3/2 |    4 |           9.2028320               |                    |   1.340    |  98                      :     2  3s2.3p4.(3P).4s    4P   |          
                   |        |  1/2 |    2 |           9.2821597               |                    |   0.663    |  99                      :     1  3s2.3p4.(3P).4s    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).4p    | 4P*    |  5/2 |    6 |          10.2806325               |                    |   1.591    |  96                      :     4  3s2.3p4.(3P).4p    4D*  |          
                   |        |  3/2 |    4 |          10.3069180               |                    |   1.723    |  94                      :     3  3s2.3p4.(3P).4p    4D*  |          
                   |        |  1/2 |    2 |          10.3359337               |                    |   2.617    |  97                      :     1  3s2.3p4.(3P).4p    4D*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).4p    | 4D*    |  7/2 |    8 |          10.4015349               |                    |   1.422    | 100                                                       |          
                   |        |  5/2 |    6 |          10.4310711               |                    |   1.308    |  66                      :    32  3s2.3p4.(3P).4p    2D*  |          
                   |        |  3/2 |    4 |          10.4748433               |                    |   1.163    |  82                      :    11  3s2.3p4.(3P).4p    2D*  |          
                   |        |  1/2 |    2 |          10.5000528               |                    |   0.059    |  96                      :     2  3s2.3p4.(3P).4p    2P*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(1D).4s    | 2D     |  5/2 |    6 |          10.4295834               |                    |            | 100                                                       |          
                   |        |  3/2 |    4 |          10.4297829               |                    |            | 100                                                       |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).4p    | 2D*    |  5/2 |    6 |          10.4950268               |                    |   1.269    |  68                      :    30  3s2.3p4.(3P).4p    4D*  |          
                   |        |  3/2 |    4 |          10.5372286               |                    |   0.986    |  57                      :    27  3s2.3p4.(3P).4p    2P*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P).4p    | 2P*    |  1/2 |    2 |          10.5689499               |                    |   1.280    |  60                      :    34  3s2.3p4.(3P).4p    2S*  |          
                   |        |  3/2 |    4 |          10.5935112               |                    |   1.327    |  59                      :    31  3s2.3p4.(3P).4p    2D*  |          
