-------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |                Level (eV)  |   Uncertainty (eV) | Leading percentages                        | Reference
----------------------|--------|-----|------|----------------------------|--------------------|--------------------------------------------|-----------
                      |        |     |      |                            |                    |                                            |           
3s2.3p4               | 3P     |   2 |    5 |         0.000000           |                    |  99                                        |     L1617
                      |        |   1 |    3 |         0.086293           |                    | 100                                        |          
                      |        |   0 |    1 |         0.123547           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p4               | 1D     |   2 |    5 |         1.444860           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p4               | 1S     |   0 |    1 |         3.456434           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s.3p5                | 3P*    |   2 |    5 |        11.576102           |                    |  72         :    19  3s2.3p3.(2D).3d  3P*  |          
                      |        |   1 |    3 |        11.654500           |                    |  71         :    19  3s2.3p3.(2D).3d  3P*  |          
                      |        |   0 |    1 |        11.695906           |                    |  71         :    19  3s2.3p3.(2D).3d  3P*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).4s      | 5S*    |   2 |    5 |        13.375373           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).3d      | 5D*    |   4 |    9 |        13.675065           |                    |  99                                        |          
                      |        |   3 |    7 |        13.675174           |                    |  99                                        |          
                      |        |   2 |    5 |        13.675527           |                    |  99                                        |          
                      |        |   1 |    3 |        13.675844           |                    |  99                                        |          
                      |        |   0 |    1 |        13.676017           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).4s      | 3S*    |   1 |    3 |        13.961781           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 1P*    |   1 |    3 |        14.339736           |                    |  57         :    33  3s.3p5           1P*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).3d      | 3D*    |   2 |    5 |        14.853347           |                    |  59         :    36  3s2.3p3.(2D*).3d 3D*  |          
                      |        |   3 |    7 |        14.854698           |                    |  58         :    36  3s2.3p3.(2D*).3d 3D*  |          
                      |        |   1 |    3 |        14.858677           |                    |  59         :    36  3s2.3p3.(2D*).3d 3D*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 1S*    |   0 |    1 |        15.528511           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).3d      | 3F*    |   2 |    5 |        15.626167           |                    |  85         :    15  3s2.3p3.(2P*).3d 3F*  |          
                      |        |   3 |    7 |        15.649377           |                    |  85         :    14  3s2.3p3.(2P*).3d 3F*  |          
                      |        |   4 |    9 |        15.678806           |                    |  86         :    13  3s2.3p3.(2P*).3d 3F*  |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4s      | 3D*    |   1 |    3 |        15.712108           |                    |  99                                        |          
                      |        |   2 |    5 |        15.714374           |                    |  99                                        |          
                      |        |   3 |    7 |        15.719258           |                    | 100                                        |          
                      |        |     |      |                            |                    |                                            |           
