----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |         Rel. |    Aki     | Acc. |          Ei           Ek          |              Lower level              |              Upper level              |  gi   gk  |Type|                     TP  |        Line  |
          |     Wavelength     |     Wavelength     |         Int. |   (s^-1)   |      |         (eV)         (eV)         |---------------------------------------|---------------------------------------|           |    |                    Ref. |        Ref.  |
          |      Air (nm)      |      Air (nm)      |              |            |      |                                   | Conf.                  | Term  | J    | Conf.                  | Term  | J    |           |    |                         |              |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr I      |         199.995    |         199.99536  |           35 | 1.4e+08    | D    |     1.03000806  -      7.227354   | 3d4.4s2                | a 5D  | 4    | 3d4.4s.5p              | r 5D* | 4    |   9 - 9   |    |                   T3196 |        L808  |
Cr II     |         200.01079  |         200.010735 |            5 |            |      |     6.80524287  -     13.0021122  | 3d4.(a 3F).4s          | d 4F  | 7/2  | 3d3.(4F).4s.4p.(1P*)   | p 4D* | 5/2  |   8 - 6   |    |                         |      L18847  |
Cr II     |         200.04227  |         200.042230 |           7* |            |      |     8.35269991  -     14.5485937  | 3d4.(3H).4p            | y 4G* | 11/2 | 3d4.(5D).6d            | 4G    | 11/2 |  12 - 12  |    |                         |      L18847  |
Cr II     |         200.04227  |         200.042545 |           7* |            |      |     8.30843838  -     14.5043225  | 3d4.(a 3F).4p          | y 4F* | 5/2  | 3d4.(5D).6d            | 4G    | 7/2  |   6 - 8   |    |                         |  L18847c153  |
Cr I      |         200.060    |         200.06050  |           20 |            |      |     1.00367492  -      7.1990031  | 3d4.4s2                | a 5D  | 3    | 3d4.4s.5p              | r 5D* | 2    |   7 - 5   |    |                         |        L808  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         200.08405  |         200.084035 |            6 |            |      |     4.41511554  -     10.60971501 | 3d5                    | b 2H  | 9/2  | 3d4.(1F).4p            | v 2G* | 7/2  |  10 - 8   |    |                         |      L18847  |
Cr II     |         200.11020  |         200.110188 |           18 |            |      |     8.18422741  -     14.3780174  | 3d3.4s2                | d 4P  | 3/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 3/2  |   4 - 4   |    |                         |      L18847  |
Cr II     |         200.16768  |         200.167690 |            4 |            |      |     3.10490644  -      9.29691740 | 3d5                    | b 4D  | 3/2  | 3d4.(3D).4p            | y 2P* | 3/2  |   4 - 4   |    |                         |      L18847  |
Cr II     |         200.1834   |         200.183545 |            4 |            |      |     3.10539678  -      9.29691740 | 3d5                    | b 4D  | 5/2  | 3d4.(3D).4p            | y 2P* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         200.202162 |         200.202159 |           78 |            |      |     8.18422741  -     14.3751725  | 3d3.4s2                | d 4P  | 3/2  | 3d3.(4P).4s.4p.(1P*)   | 4P*   | 1/2  |   4 - 2   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
