------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |          Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
----------------------|--------|-----|------|---------------------|----------------------|-----------|-----------------------------------------------------|------------------
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).4s           | a 7S   |   3 |    7 |        0.00000000   |          0.00000014  |   2.00183 | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).4s           | a 5S   |   2 |    5 |        0.94143041   |          0.00000017  |   2.006   | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | a 5D   |   0 |    1 |        0.96097008   |          0.00000016  |           |                                                     |           L18327
                      |        |   1 |    3 |        0.96841323   |          0.00000014  |   1.50060 |                                                     |     L18327,L7185
                      |        |   2 |    5 |        0.98287741   |          0.00000014  |   1.50060 |                                                     |     L18327,L7185
                      |        |   3 |    7 |        1.00367492   |          0.00000014  |   1.50060 |                                                     |     L18327,L7185
                      |        |   4 |    9 |        1.03000806   |          0.00000015  |   1.50060 |                                                     |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4G).4s           | a 5G   |   2 |    5 |        2.54383612   |          0.00000015  |   0.37    | 100                                                 |     L18327,L7185
                      |        |   6 |   13 |        2.54410012   |          0.00000017  |   1.33    | 100                                                 |     L18327,L7185
                      |        |   3 |    7 |        2.54426768   |          0.00000015  |   0.93    | 100                                                 |     L18327,L7185
                      |        |   4 |    9 |        2.54460567   |          0.00000016  |   1.13    | 100                                                 |     L18327,L7185
                      |        |   5 |   11 |        2.54463926   |          0.00000017  |   1.25    | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4P).4s           | a 5P   |   3 |    7 |        2.70791525   |          0.00000015  |   1.6     |  98                                                 |     L18327,L7185
                      |        |   2 |    5 |        2.70878627   |          0.00000015  |   1.847   |  98                                                 |     L18327,L7185
                      |        |   1 |    3 |        2.70991376   |          0.00000014  |   2.500   | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | a 3P   |   0 |    1 |        2.87187330   |          0.00000022  |           |                                                     |           L18327
                      |        |   1 |    3 |        2.91511321   |          0.00000017  |           |                                                     |           L18327
                      |        |   2 |    5 |        2.98716592   |          0.00000017  |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).4p           | z 7P*  |   2 |    5 |        2.88945204   |          0.00000019  |   2.334   |  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  |     L18327,L7185
                      |        |   3 |    7 |        2.89953683   |          0.00000017  |   1.9176  |  67             :    33  3d4.(5D).4s.4p.(3P*)  7P*  |     L18327,L7185
                      |        |   4 |    9 |        2.91348179   |          0.00000017  |   1.7510  |  67             :    31  3d4.(5D).4s.4p.(3P*)  7P*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.4s2               | a 3H   |   4 |    9 |        2.96741994   |          0.00000019  |           |                                                     |           L18327
                      |        |   5 |   11 |        2.98256886   |          0.00000017  |           |                                                     |           L18327
