----------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                     | Reference
-----------------------|--------|------|------|----------------------|----------------------|----------|-----------------------------------------|--------------
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | a 6S   |  5/2 |    6 |         0.00000000   |          0.00000009  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4s            | a 6D   |  1/2 |    2 |         1.48306753   |          0.00000006  |    3.323 |                                         | L18847,L7185
                       |        |  3/2 |    4 |         1.49184540   |          0.00000006  |    1.867 |                                         | L18847,L7185
                       |        |  5/2 |    6 |         1.50613167   |          0.00000006  |    1.669 |                                         | L18847,L7185
                       |        |  7/2 |    8 |         1.52547925   |          0.00000006  |    1.578 |                                         | L18847,L7185
                       |        |  9/2 |   10 |         1.54936313   |          0.00000006  |    1.554 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4s            | a 4D   |  1/2 |    2 |         2.42119184   |          0.00000006  |    0.000 |                                         | L18847,L7185
                       |        |  3/2 |    4 |         2.43395929   |          0.00000006  |    1.192 |                                         | L18847,L7185
                       |        |  5/2 |    6 |         2.45462171   |          0.00000006  |    1.370 |                                         | L18847,L7185
                       |        |  7/2 |    8 |         2.48266102   |          0.00000006  |    1.427 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | a 4G   |  5/2 |    6 |         2.54317167   |          0.00000006  |    0.599 |                                         | L18847,L7185
                       |        | 11/2 |   12 |         2.54317575   |          0.00000009  |    1.278 |                                         | L18847,L7185
                       |        |  7/2 |    8 |         2.54388197   |          0.00000006  |    0.994 |                                         | L18847,L7185
                       |        |  9/2 |   10 |         2.54406515   |          0.00000008  |    1.161 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | a 4P   |  5/2 |    6 |         2.70564567   |          0.00000006  |    1.590 |                                         | L18847,L7185
                       |        |  1/2 |    2 |         2.70579641   |          0.00000006  |    2.693 |                                         | L18847,L7185
                       |        |  3/2 |    4 |         2.70584856   |          0.00000006  |    1.717 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | b 4D   |  7/2 |    8 |         3.10377922   |          0.00000006  |    1.432 |                                         | L18847,L7185
                       |        |  1/2 |    2 |         3.10398700   |          0.00000010  |   -0.045 |                                         | L18847,L7185
                       |        |  3/2 |    4 |         3.10490644   |          0.00000006  |    1.207 |                                         | L18847,L7185
                       |        |  5/2 |    6 |         3.10539678   |          0.00000006  |    1.381 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(a 3P).4s          | b 4P   |  1/2 |    2 |         3.71355189   |          0.00000013  |    2.685 |                                         | L18847,L7185
                       |        |  3/2 |    4 |         3.75763460   |          0.00000008  |    1.756 |                                         | L18847,L7185
                       |        |  5/2 |    6 |         3.82670193   |          0.00000007  |    1.572 |                                         | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | a 2I   | 11/2 |   12 |         3.73728627   |          0.00000011  |          |                                         |       L18847
