-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level              |                Upper level                |  gi   gk  |Type|         TP  |                       Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |      Int. |   (s^-1)    |      |          (eV)         (eV)          |---------------------------------------|-------------------------------------------|           |    |        Ref. |                       Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |           |             |      |                                     | Conf.                | Term     | J   | Conf.                | Term     | J       |           |    |             |                             |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          199.969752 |  0.000008 |          199.969754 |  0.000007 |  20000000 | 2.13e+08    | B    |      2.71881631  -       8.91695539 | 3d9.4s               | 3D       | 3   | 3d9.4p               | 3D*      | 3       |   7 - 7   |    |      T6136n |                 L19804c167  |
Cu I      |          200.1672   |  0.0002   |          200.16723  |  0.00008  |       12a |             |      |      0.0000000   -       6.1920251  | 3d10.4s              | 2S       | 1/2 | 3d10.4d              | 2D       | 5/2     |   2 - 6   | E2 |             |                      L4958  |
Cu I      |          200.1947   |  0.0002   |          200.19472  |  0.00008  |        6a |             |      |      0.0000000   -       6.1911751  | 3d10.4s              | 2S       | 1/2 | 3d10.4d              | 2D       | 3/2     |   2 - 4   | E2 |             |                      L4958  |
Cu II     |          200.29033  |  0.00020  |          200.29020  |  0.00012  |     73000 |             |      |     10.9856317   -      17.173856   | 3d8.4s2              | 3P       | 1   | 3d8.(3P).4s.4p.(3P*) | 3S*      | 1       |   3 - 3   |    |             |                 L19804c170  |
Cu I      |          200.9252   |  0.0002   |          200.92510  |  0.00020  |       12a |             |      |      1.388948    -       7.557620   | 3d9.4s2              | 2D       | 5/2 | 3d10.11p             | 2P*      | 3/2     |   6 - 4   |    |             |                      L4958  |
          |                     |           |                     |           |           |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                             |
Cu II     |          200.932    |  0.015    |          200.928239 |  0.000009 |      6800 |             |      |      8.52154394  -      14.69012052 | 3d9.4p               | 3F*      | 4   | 3d9.(2D<3/2>).4d     | 2[5/2]   | 3       |   9 - 7   |    |             |                 L14468c171  |
Cu II     |          201.298037 |  0.000015 |          201.298041 |  0.000008 |   1800000 | 2.5e+08     | C    |      8.23486734  -      14.39211337 | 3d9.4p               | 3P*      | 2   | 3d9.(2D<5/2>).4d     | 2[5/2]   | 3       |   5 - 7   |    |       T7181 |                 L19804c167  |
Cu III    |          201.322    |  0.010    |                     |           |       200 |             |      |                                     |                      |          |     |                      |          |         |           |    |             |                      L2987  |
Cu II     |          201.55822  |  0.00004  |          201.558222 |  0.000009 |   1400000 | 2.1e+07     | C+   |      2.97541887  -       9.12471797 | 3d9.4s               | 3D       | 1   | 3d9.4p               | 1P*      | 1       |   3 - 3   |    |      T4280n |                 L19804c167  |
