-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration           | Term      |        J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Leading percentages                                | Reference
------------------------|-----------|----------|------|-------------------|--------------------|----------|----------------------------------------------------|-------------------
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.4s                 | 2S        |      1/2 |    2 |       0.0000000   |         0          |   2.00   |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s2                 | 2D        |      5/2 |    6 |       1.388948    |         0.000003   |   1.23   |                                                    |        L10559c152
                        |           |      3/2 |    4 |       1.6422256   |         0.0000024  |   0.80   |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.4p                 | 2P*       |      1/2 |    2 |       3.7858976   |         0.0000024  |   0.68   |  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  |        L10559c152
                        |           |      3/2 |    4 |       3.8166920   |         0.0000022  |   1.33   |  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.(2D).4s.4p.(3P*)    | 4P*       |      5/2 |    6 |       4.837701    |         0.000004   |   1.600  |  98                                                |        L10559c152
                        |           |      3/2 |    4 |       4.973503    |         0.000004   |   1.75   |  96                                                |        L10559c152
                        |           |      1/2 |    2 |       5.076382    |         0.000004   |   2.62   |  97                                                |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.(2D).4s.4p.(3P*)    | 4F*       |      9/2 |   10 |       5.072089    |         0.000006   |   1.3340 | 100                                                |        L10559c152
                        |           |      7/2 |    8 |       5.102380    |         0.000004   |   1.26   |  89             :     8  3d9.(2D).4s.4p.(3P*) 2F*  |        L10559c152
                        |           |      5/2 |    6 |       5.153147    |         0.000004   |          |  81             :    16  3d9.(2D).4s.4p.(3P*) 2F*  |        L10559c152
                        |           |      3/2 |    4 |       5.244851    |         0.000004   |   0.44   |  95                                                |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.5s                 | 2S        |      1/2 |    2 |       5.3483347   |         0.0000021  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.(2D).4s.4p.(3P*)    | 4D*       |      7/2 |    8 |       5.395050    |         0.000004   |   1.45   |  87             :    11  3d9.(2D).4s.4p.(3P*) 2F*  |        L10559c152
                        |           |      5/2 |    6 |       5.505682    |         0.000004   |   1.43   |  43             :    33  3d9.(2D).4s.4p.(3P*) 2F*  |        L10559c152
                        |           |      3/2 |    4 |       5.522772    |         0.000004   |   1.09   |  65             :    26  3d9.(2D).4s.4p.(3P*) 2D*  |        L10559c152
                        |           |      1/2 |    2 |       5.568835    |         0.000005   |   0.00   |  64             :    33  3d9.(2D).4s.4p.(3P*) 2P*  |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.(2D).4s.4p.(3P*)    | 2F*       |      5/2 |    6 |       5.421363    |         0.000004   |          |  51             :    38  3d9.(2D).4s.4p.(3P*) 4D*  |        L10559c152
