------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |            Level (eV) |     Uncertainty (eV) |  Landé | Leading percentages                                                           | Reference
---------------------|-----------|-----|------|-----------------------|----------------------|--------|-------------------------------------------------------------------------------|---------------
                     |           |     |      |                       |                      |        |                                                                               |               
3d10                 | 1S        |   0 |    1 |          0.0000000    |          0.0000021   |        |  97                                    :     2  3d9.4d               1S       |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4s               | 3D        |   3 |    7 |          2.71881631   |          0.00000017  |   1.32 |  98                                                                           | L19804,L10559
                     |           |   2 |    5 |          2.83268154   |          0.00000006  |   1.16 |  89                                    :     9  3d9.4s               1D       | L19804,L10559
                     |           |   1 |    3 |          2.97541887   |          0.00000011  |   0.48 |  98                                                                           | L19804,L10559
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4s               | 1D        |   2 |    5 |          3.25638918   |          0.00000015  |   1.00 |  89                                    :     9  3d9.4s               3D       | L19804,L10559
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4p               | 3P*       |   2 |    5 |          8.23486734   |          0.00000018  |   1.49 |  96                                    :     2  3d9.4p               3D*      | L19804,L10559
                     |           |   1 |    3 |          8.42057983   |          0.00000015  |   1.49 |  95                                    :     2  3d9.4p               1P*      | L19804,L10559
                     |           |   0 |    1 |          8.53634457   |          0.00000018  |        |  98                                                                           |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4p               | 3F*       |   3 |    7 |          8.48643747   |          0.00000017  |   1.06 |  62                                    :    34  3d9.4p               1F*      | L19804,L10559
                     |           |   4 |    9 |          8.52154394   |          0.00000022  |   1.23 |  98                                                                           | L19804,L10559
                     |           |   2 |    5 |          8.66252603   |          0.00000015  |   0.67 |  88                                    :     6  3d9.4p               3D*      | L19804,L10559
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.4s2              | 3F        |   4 |    9 |          8.64228147   |          0.00000024  |        |  95                                    :     4  3d8.(3F).4p2.(1S)    3F       |        L19804
                     |           |   3 |    7 |          8.8687808    |          0.0000004   |        |  95                                    :     4  3d8.(3F).4p2.(1S)    3F       |        L19804
                     |           |   2 |    5 |          9.0166041    |          0.0000005   |        |  94                                    :     4  3d8.(3F).4p2.(1S)    3F       |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4p               | 1F*       |   3 |    7 |          8.78322242   |          0.00000018  |        |  49                                    :    31  3d9.4p               3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4p               | 1D*       |   2 |    5 |          8.86410821   |          0.00000010  |   1.08 |  54                                    :    35  3d9.4p               3D*      | L19804,L10559
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.4p               | 3D*       |   3 |    7 |          8.91695539   |          0.00000011  |        |  64                                    :    19  3d9.4p               3F*      |        L19804
                     |           |   1 |    3 |          9.06349786   |          0.00000010  |   0.47 |  92                                    :     3  3d9.4p               1P*      | L19804,L10559
                     |           |   2 |    5 |          9.09464949   |          0.00000011  |   0.99 |  54                                    :    41  3d9.4p               1D*      | L19804,L10559
                     |           |     |      |                       |                      |        |                                                                               |               
