-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |                      Level (eV)   |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
-----------------------|-----------|-----|------|-----------------------------------|----------------------|-----------|-----------------------------------------------------|-----------
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | a 5D      |   4 |    9 |           0.0000000               |                      |   1.50020 | 100                                                 |    L11631
                       |           |   3 |    7 |           0.05156912              |          0.00000012  |   1.50034 | 100                                                 |          
                       |           |   2 |    5 |           0.08728574              |          0.00000012  |   1.50041 | 100                                                 |          
                       |           |   1 |    3 |           0.11011433              |          0.00000012  |   1.50022 | 100                                                 |          
                       |           |   0 |    1 |           0.12126572              |          0.00000012  |           | 100                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4s            | a 5F      |   5 |   11 |           0.85899575              |          0.00000012  |   1.40021 | 100                                                 |          
                       |           |   4 |    9 |           0.91460217              |          0.00000012  |   1.35004 | 100                                                 |          
                       |           |   3 |    7 |           0.95815732              |          0.00000012  |   1.24988 | 100                                                 |          
                       |           |   2 |    5 |           0.99011115              |          0.00000012  |   0.99953 | 100                                                 |          
                       |           |   1 |    3 |           1.01105568              |          0.00000012  |  -0.014   | 100                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4s            | a 3F      |   4 |    9 |           1.48486439              |          0.00000012  |   1.254   |  98             :     1  3d6.4s2               3F2  |          
                       |           |   3 |    7 |           1.55735733              |          0.00000012  |   1.086   |  98             :     1  3d6.4s2               3F2  |          
                       |           |   2 |    5 |           1.60789577              |          0.00000012  |   0.670   |  98             :     1  3d6.4s2               3F2  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4P).4s            | a 5P      |   3 |    7 |           2.17594512              |          0.00000012  |   1.666   |  99                                                 |          
                       |           |   2 |    5 |           2.19786640              |          0.00000012  |   1.820   |  99                                                 |          
                       |           |   1 |    3 |           2.22271209              |          0.00000012  |   2.499   |  99                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | a 3P2     |   2 |    5 |           2.27860466              |          0.00000012  |   1.506   |  55             :    32  3d6.4s2               3P1  |          
                       |           |   1 |    3 |           2.42419831              |          0.00000012  |   1.500   |  55             :    32  3d6.4s2               3P1  |          
                       |           |   0 |    1 |           2.48437256              |          0.00000025  |           |  55             :    32  3d6.4s2               3P1  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 7D*     |   5 |   11 |           2.39920471              |          0.00000012  |   1.597   |  99                                                 |          
                       |           |   4 |    9 |           2.42543332              |          0.00000012  |   1.642   |  98                                                 |          
                       |           |   3 |    7 |           2.44955978              |          0.00000012  |   1.746   |  99                                                 |          
                       |           |   2 |    5 |           2.46883473              |          0.00000012  |   2.008   |  99                                                 |          
                       |           |   1 |    3 |           2.48211840              |          0.00000012  |   2.999   | 100                                                 |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | a 3H      |   6 |   13 |           2.40407444              |          0.00000012  |   1.163   | 100                                                 |          
