--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |                     Level (eV)  |     Uncertainty (eV) |    Landé | Leading percentages                                                         | Reference
----------------------|---------|------|------|---------------------------------|----------------------|----------|-----------------------------------------------------------------------------|-------------------
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4s           | a 6D    |  9/2 |   10 |          0.00000000             |          0.0000      |    1.58  | 100                                                                         | L18349,L18361c138
                      |         |  7/2 |    8 |          0.04770753             |          0.00000004  |    1.58  | 100                                                                         | L18349,L18361c138
                      |         |  5/2 |    6 |          0.08278213             |          0.00000004  |    1.655 | 100                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          0.10695023             |          0.00000005  |    1.862 | 100                                                                         | L18349,L18361c138
                      |         |  1/2 |    2 |          0.12113874             |          0.00000005  |    3.31  | 100                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | a 4F    |  9/2 |   10 |          0.23217279             |          0.00000007  |    1.33  | 100                                                                         | L18349,L18361c138
                      |         |  7/2 |    8 |          0.30129858             |          0.00000007  |    1.223 | 100                                                                         | L18349,L18361c138
                      |         |  5/2 |    6 |          0.35186476             |          0.00000009  |    1.02  | 100                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          0.38651921             |          0.00000010  |    0.385 | 100                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4s           | a 4D    |  7/2 |    8 |          0.98633380             |          0.00000009  |    1.419 |  99                                                                         | L18349,L18361c138
                      |         |  5/2 |    6 |          1.04046986             |          0.00000009  |    1.365 |  99                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          1.07624119             |          0.00000009  |    1.200 |  99                                                                         | L18349,L18361c138
                      |         |  1/2 |    2 |          1.09686139             |          0.00000010  |   -0.05  |  99                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | a 4P    |  5/2 |    6 |          1.67061856             |          0.00000011  |    1.609 |  98                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          1.69526130             |          0.00000012  |    1.737 |  96                                  :     2  3d7                     2P    | L18349,L18361c138
                      |         |  1/2 |    2 |          1.72398297             |          0.00000015  |    2.67  |  98                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | a 2G    |  9/2 |   10 |          1.96448604             |          0.00000015  |          |  98                                                                         | L18349,L18361c138
                      |         |  7/2 |    8 |          2.02954815             |          0.00000016  |          | 100                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | a 2P    |  3/2 |    4 |          2.27642922             |          0.00000020  |    1.28  |  90                                  :     6  3d7                     2D2   | L18349,L18361c138
                      |         |  1/2 |    2 |          2.34166141             |          0.00000025  |          |  98                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | a 2H    | 11/2 |   12 |          2.52186911             |          0.00000016  |          |  99                                                                         | L18349,L18361c138
                      |         |  9/2 |   10 |          2.57958587             |          0.00000017  |    0.92  |  98                                                                         | L18349,L18361c138
