---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |               23.434716061 |  0.000000011 |       | 3.1581e+08   | AA   |   0.000000000  -  (52.9062085)  | 1s     | 2S   | 1/2   | 6p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |               23.434727975 |  0.000000011 |       | 3.1581e+08   | AA   |   0.000000000  -  (52.9061816)  | 1s     | 2S   | 1/2   | 6p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |               23.733066411 |  0.000000011 |       | 5.5028e+08   | AA   |   0.000000000  -  (52.2411202)  | 1s     | 2S   | 1/2   | 5p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |               23.733087525 |  0.000000011 |       | 5.5028e+08   | AA   |   0.000000000  -  (52.2410737)  | 1s     | 2S   | 1/2   | 5p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |               24.302644454 |  0.000000012 |       | 1.0915e+09   | AA   |   0.000000000  -  (51.0167515)  | 1s     | 2S   | 1/2   | 4p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |               24.302687696 |  0.000000012 |       | 1.0915e+09   | AA   |   0.000000000  -  (51.0166608)  | 1s     | 2S   | 1/2   | 4p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |               25.631656279 |  0.000000013 |       | 2.6774e+09   | AA   |   0.000000000  -  (48.3715122)  | 1s     | 2S   | 1/2   | 3p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |               25.631770296 |  0.000000013 |       | 2.6774e+09   | AA   |   0.000000000  -  (48.3712970)  | 1s     | 2S   | 1/2   | 3p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |               30.378040982 |  0.000000018 |       | 1.0029e+10   | AA   |   0.000000000  -  (40.8137567)  | 1s     | 2S   | 1/2   | 2p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |               30.378581505 |  0.000000018 |       | 1.0029e+10   | AA   |   0.000000000  -  (40.8130305)  | 1s     | 2S   | 1/2   | 2p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
