------------------------------------------------------------------------------------------------------------------------------
Configuration   | Term   |    J |    g |             Level (eV) |       Uncertainty (eV) | Leading percentages    | Reference
----------------|--------|------|------|------------------------|------------------------|------------------------|-----------
                |        |      |      |                        |                        |                        |           
1s              | 2S     |  1/2 |    2 |          0.000000000   |           0.000000025  | 100                    |          
                |        |      |      |                        |                        |                        |           
2p              | 2P*    |  1/2 |    2 |        (40.8130305)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (40.8137567)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
2s              | 2S     |  1/2 |    2 |        (40.8130886)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
3p              | 2P*    |  1/2 |    2 |        (48.3712970)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (48.3715122)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
3s              | 2S     |  1/2 |    2 |        (48.3713143)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
3d              | 2D     |  3/2 |    4 |        (48.3715118)    |           0.0000003    | 100                    | L3620c107
                |        |  5/2 |    6 |        (48.3715835)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
4p              | 2P*    |  1/2 |    2 |        (51.0166608)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (51.0167515)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
4s              | 2S     |  1/2 |    2 |        (51.0166681)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
4d              | 2D     |  3/2 |    4 |        (51.0167514)    |           0.0000003    | 100                    | L3620c107
                |        |  5/2 |    6 |        (51.0167816)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
4f              | 2F*    |  5/2 |    6 |        (51.0167816)    |           0.0000003    | 100                    | L3620c107
                |        |  7/2 |    8 |        (51.0167967)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
5p              | 2P*    |  1/2 |    2 |        (52.2410737)    |           0.0000003    | 100                    | L3620c107
                |        |  3/2 |    4 |        (52.2411202)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
5s              | 2S     |  1/2 |    2 |        (52.2410774)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
5d              | 2D     |  3/2 |    4 |        (52.2411201)    |           0.0000003    | 100                    | L3620c107
                |        |  5/2 |    6 |        (52.2411356)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
5f              | 2F*    |  5/2 |    6 |        (52.2411355)    |           0.0000003    | 100                    | L3620c107
                |        |  7/2 |    8 |        (52.2411433)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
5g              | 2G     |  7/2 |    8 |        (52.2411433)    |           0.0000003    | 100                    | L3620c107
                |        |  9/2 |   10 |        (52.2411479)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
6p              | 2P*    |  1/2 |    2 |        (52.9061816)    |           0.0000003    | 100                    | L3620c107
