-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |  Unc.   |        Ritz        |   Unc.   |     Rel. |    Aki     | Acc. |          Ei           Ek          |              Lower level              |              Upper level               |  gi   gk  |Type|    TP  |          Line  |
          |     Wavelength     |   (nm)  |     Wavelength     |   (nm)   |     Int. |   (s^-1)   |      |         (eV)         (eV)         |---------------------------------------|----------------------------------------|           |    |   Ref. |          Ref.  |
          |      Air (nm)      |         |      Air (nm)      |          |          |            |      |                                   | Conf.                 | Term   | J    | Conf.                 | Term    | J    |           |    |        |                |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |         |                    |          |          |            |      |                                   |                       |        |      |                       |         |      |           |    |        |                |
Mo VI     |         199.9508   |  0.0005 |         199.9506   |  0.0010  |    40000 | 1.12e+09   |      |     47.926359   -      54.125092  | 4p6.6d                | 2D     | 5/2  | 4p6.6f                | 2F*     | 7/2  |   6 - 8   |    |  T8723 |        L15083  |
Mo VI     |         200.2474   |  0.0005 |         200.2481   |  0.0010  |   250000 | 2.23e+09   |      |     48.996609   -      55.18613   | 4p6.5g                | 2G     | 9/2  | 4p6.6h                | 2H*     | 11/2 |  10 - 12  |    |  T8723 |        L15083  |
Mo VI     |         200.2525   |  0.0005 |         200.2510   |  0.0010  |   200000 | 2.19e+09   |      |     48.996241   -      55.18568   | 4p6.5g                | 2G     | 7/2  | 4p6.6h                | 2H*     | 9/2  |   8 - 10  |    |  T8723 |        L15083  |
Mo VI     |         200.3675   |  0.0005 |         200.3675   |  0.0010  |    15000 | 9.12e+08   |      |     48.855404   -      55.041242  | 4p5.(2P*).4d2.(1S)    | 2F*    | 5/2  | 4p6.6g                | 2G      | 7/2  |   6 - 8   |    |  T8723 |        L15083  |
Mo IV     |         201.092    |  0.010  |                    |          |       70 |            |      |                                   |                       |        |      |                       |         |      |           |    |        |         L3357  |
          |                    |         |                    |          |          |            |      |                                   |                       |        |      |                       |         |      |           |    |        |                |
Mo VI     |         201.4286   |  0.0005 |         201.4287   |  0.0010  |      100 | 7.75e+07   |      |     47.926359   -      54.079613  | 4p6.6d                | 2D     | 5/2  | 4p6.6f                | 2F*     | 5/2  |   6 - 6   |    |  T8723 |        L15083  |
Mo V      |         201.4782   |  0.0005 |         201.4780   |  0.0003  |     2000 | 3.8e+08    | C    |     29.260521   -      35.412270  | 4p6.4d.5d             | 1P     | 1    | 4p6.4d.6p             | 1P*     | 1    |   3 - 3   |    |  T9479 |        L19131  |
Mo II     |         201.511    |  0.010  |                    |          |    19000 |            |      |                                   |                       |        |      |                       |         |      |           |    |        |         L3475  |
Mo VII    |         201.6880   |  0.0010 |         201.6880+  |  0.0006  |      160 |            |      |     76.392646   -      82.537989  | 4s2.4p5.(2P*<3/2>).4f | 2[7/2] | 4    | 4s2.4p5.(2P*<3/2>).5d | 2[5/2]* | 3    |   9 - 7   |    |        |        L10359  |
Mo II     |         202.030    |  0.010  |                    |          |    40000 |            |      |                                   |                       |        |      |                       |         |      |           |    |        |         L3475  |
          |                    |         |                    |          |          |            |      |                                   |                       |        |      |                       |         |      |           |    |        |                |
