-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
--------------------|--------|-----|------|--------------------|--------------------|----------|-----------
                    |        |     |      |                    |                    |          |           
4d5.(6S).5s         | a 7S   |   3 |    7 |        0.0000000   |                    |    1.992 |    L10502
                    |        |     |      |                    |                    |          |           
4d5.(6S).5s         | a 5S   |   2 |    5 |        1.3351030   |                    |    1.980 |          
                    |        |     |      |                    |                    |          |           
4d4.5s2             | a 5D   |   0 |    1 |        1.3596041   |                    |    0.000 |          
                    |        |   1 |    3 |        1.3815291   |                    |    1.490 |          
                    |        |   2 |    5 |        1.4201599   |                    |    1.498 |          
                    |        |   3 |    7 |        1.4702664   |                    |    1.488 |          
                    |        |   4 |    9 |        1.5307436   |                    |    1.483 |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5s         | a 5G   |   2 |    5 |        2.0632311   |                    |    0.331 |          
                    |        |   3 |    7 |        2.0696564   |                    |    0.918 |          
                    |        |   4 |    9 |        2.0764526   |                    |    1.141 |          
                    |        |   6 |   13 |        2.0809329   |                    |    1.318 |          
                    |        |   5 |   11 |        2.0810155   |                    |    1.284 |          
                    |        |     |      |                    |                    |          |           
4d5.(4P).5s         | a 5P   |   3 |    7 |        2.2601268   |                    |    1.636 |          
                    |        |   2 |    5 |        2.2759148   |                    |    1.789 |          
                    |        |   1 |    3 |        2.2911761   |                    |    2.424 |          
                    |        |     |      |                    |                    |          |           
4d5.(4D).5s         | b 5D   |   0 |    1 |        2.4759455   |                    |   -0.037 |          
                    |        |   1 |    3 |        2.4958407   |                    |    1.579 |          
                    |        |   4 |    9 |        2.4992489   |                    |    1.482 |          
                    |        |   2 |    5 |        2.5145195   |                    |    1.537 |          
                    |        |   3 |    7 |        2.5231413   |                    |    1.495 |          
                    |        |     |      |                    |                    |          |           
4d4.5s2             | a 3P   |   0 |    1 |        2.5549963   |                    |    0.000 |          
                    |        |   1 |    3 |        2.7579510   |                    |    0.977 |          
                    |        |   2 |    5 |        2.8362553   |                    |    1.361 |          
                    |        |     |      |                    |                    |          |           
4d5.(4D).5s         | a 3D   |   1 |    3 |        2.5950419   |                    |    1.056 |          
                    |        |   2 |    5 |        2.5975747   |                    |    1.289 |          
                    |        |   3 |    7 |        2.6803685   |                    |    1.320 |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5s         | a 3G   |   3 |    7 |        2.5972135   |                    |    0.767 |          
                    |        |   4 |    9 |        2.6227473   |                    |    1.051 |          
                    |        |   5 |   11 |        2.6462200   |                    |    1.213 |          
                    |        |     |      |                    |                    |          |           
4d4.5s2             | a 3F   |   4 |    9 |        2.9156714   |                    |    1.117 |          
                    |        |   2 |    5 |        2.9178946   |                    |    0.667 |          
                    |        |   3 |    7 |        2.9344678   |                    |    1.079 |          
                    |        |     |      |                    |                    |          |           
4d4.5s2             | a 3H   |   4 |    9 |        2.9875597   |                    |    0.973 |          
                    |        |   5 |   11 |        3.0333690   |                    |    1.128 |          
                    |        |   6 |   13 |        3.0777195   |                    |    1.142 |          
                    |        |     |      |                    |                    |          |           
