--------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Reference
-------------------|--------|------|------|-------------------|--------------------|----------|---------------
                   |        |      |      |                   |                    |          |               
4d5                | a 6S   |  5/2 |    6 |        0.000000   |                    |          |        L10502
                   |        |      |      |                   |                    |          |               
4d4.(5D).5s        | a 6D   |  1/2 |    2 |        1.460950   |                    |    3.301 |              
                   |        |  3/2 |    4 |        1.492033   |                    |    1.847 |              
                   |        |  5/2 |    6 |        1.539546   |                    |    1.635 |              
                   |        |  7/2 |    8 |        1.599437   |                    |    1.584 |              
                   |        |  9/2 |   10 |        1.668914   |                    |    1.543 |              
                   |        |      |      |                   |                    |          |               
4d5                | a 4G   |  5/2 |    6 |        1.884467   |                    |    0.61  |              
                   |        |  7/2 |    8 |        1.900747   |                    |          |              
                   |        |  9/2 |   10 |        1.912795   |                    |          |              
                   |        | 11/2 |   12 |        1.915180   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d5                | a 4P   |  5/2 |    6 |        1.945463   |                    |    1.595 |              
                   |        |  3/2 |    4 |        1.946448   |                    |          |              
                   |        |  1/2 |    2 |        1.970124   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d5                | a 4D   |  1/2 |    2 |        2.082456   |                    |    0.758 |              
                   |        |  7/2 |    8 |        2.101133   |                    |    1.404 |              
                   |        |  3/2 |    4 |        2.129317   |                    |    1.391 |              
                   |        |  5/2 |    6 |        2.150394   |                    |    1.433 |              
                   |        |      |      |                   |                    |          |               
4d5                | a 2D   |  5/2 |    6 |        2.782746   |                    |    1.082 |              
                   |        |  3/2 |    4 |        2.834819   |                    |    0.688 |              
                   |        |      |      |                   |                    |          |               
4d5                | a 2I   | 11/2 |   12 |        2.849216   |                    |          |              
                   |        | 13/2 |   14 |        2.882408   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d5                | a 4F   |  9/2 |   10 |        2.954898   |                    |    1.300 |              
                   |        |  7/2 |    8 |        2.957438   |                    |    1.219 |              
                   |        |  5/2 |    6 |        2.967482   |                    |    1.018 |              
                   |        |  3/2 |    4 |        2.992687   |                    |    0.514 |              
                   |        |      |      |                   |                    |          |               
4d4.(5D).5s        | b 4D   |  1/2 |    2 |        3.021758   |                    |    0.058 |              
                   |        |  3/2 |    4 |        3.057351   |                    |    1.194 |              
                   |        |  5/2 |    6 |        3.113525   |                    |    1.269 |              
                   |        |  7/2 |    8 |        3.141955   |                    |    1.387 |              
                   |        |      |      |                   |                    |          |               
4d5                | a 2F   |  7/2 |    8 |        3.038766   |                    |    1.130 |              
                   |        |  5/2 |    6 |        3.079283   |                    |    1.054 |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5s        | a 4H   |  7/2 |    8 |        3.228695   |                    |    0.798 |              
                   |        |  9/2 |   10 |        3.284112   |                    |    0.984 |              
                   |        | 11/2 |   12 |        3.315272   |                    |    1.130 |              
                   |        | 13/2 |   14 |        3.361686   |                    |    1.193 |              
                   |        |      |      |                   |                    |          |               
4d5                | a 2G   |  9/2 |   10 |        3.232094   |                    |    1.065 |              
                   |        |  7/2 |    8 |        3.273878   |                    |    0.785 |              
