--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |            Lower level            |            Upper level            |  gi   gk  |Type|            TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |-----------------------------------|-----------------------------------|           |    |           Ref. |   Ref.  |
          |    Air (nm)     |    Air (nm)     |       |             |      |                               | Conf.                | Term | J   | Conf.                | Term | J   |           |    |                |         |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N V       |                 |        201.554  |       | 3.63e+07    | B    |   88.33534    -    94.4848    | 1s2.6p               | 2P*  | 3/2 | 1s2.10d              | 2D   | 5/2 |   4 - 6   |    |        T3225LS |         |
N V       |                 |        201.610  |       | 3.03e+07    | B    |   88.33418    -    94.4819    | 1s2.6p               | 2P*  | 1/2 | 1s2.10d              | 2D   | 3/2 |   2 - 4   |    |        T3225LS |         |
N V       |                 |        201.648  |       | 6.05e+06    | B    |   88.33534    -    94.4819    | 1s2.6p               | 2P*  | 3/2 | 1s2.10d              | 2D   | 3/2 |   4 - 4   |    |        T3225LS |         |
N III     |                 |        202.919  |       | 3.96e+05    | C+   |   43.82105    -    49.92913   | 2s.2p.(1P*).3s       | 2P*  | 1/2 | 2s.2p.(3P*).5p       | 2P   | 3/2 |   2 - 4   |    |        T7192LS |         |
N III     |                 |        202.926  |       | 1.98e+06    | B    |   43.82128    -    49.92913   | 2s.2p.(1P*).3s       | 2P*  | 3/2 | 2s.2p.(3P*).5p       | 2P   | 3/2 |   4 - 4   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        203.253  |       | 1.58e+06    | B    |   43.82105    -    49.91909   | 2s.2p.(1P*).3s       | 2P*  | 1/2 | 2s.2p.(3P*).5p       | 2P   | 1/2 |   2 - 2   |    |        T7192LS |         |
N III     |                 |        203.261  |       | 7.88e+05    | C+   |   43.82128    -    49.91909   | 2s.2p.(1P*).3s       | 2P*  | 3/2 | 2s.2p.(3P*).5p       | 2P   | 1/2 |   4 - 2   |    |        T7192LS |         |
N IV      |                 |        203.557  |       | 2.37e+08    | B    |   62.44841    -    68.53734   | 1s2.2s.4p            | 3P*  | 2   | 1s2.2s.5d            | 3D   | 3   |   5 - 7   |    |        T5633LS |         |
N IV      |                 |        203.562  |       | 5.91e+07    | B    |   62.44841    -    68.53717   | 1s2.2s.4p            | 3P*  | 2   | 1s2.2s.5d            | 3D   | 2   |   5 - 5   |    |        T5633LS |         |
N IV      |                 |        203.562  |       | 6.57e+06    | B    |   62.44841    -    68.53717   | 1s2.2s.4p            | 3P*  | 2   | 1s2.2s.5d            | 3D   | 1   |   5 - 3   |    |        T5633LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
