---------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |            Level (eV) |   Uncertainty (eV) | Reference
-------------------|--------|------|------|-----------------------|--------------------|-----------
                   |        |      |      |                       |                    |           
2s2.2p3            | 4S*    |  3/2 |    4 |           0.0000000   |                    |     L7288
                   |        |      |      |                       |                    |           
2s2.2p3            | 2D*    |  5/2 |    6 |           2.3835297   |                    |          
                   |        |  3/2 |    4 |           2.3846100   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p3            | 2P*    |  1/2 |    2 |           3.5755703   |                    |          
                   |        |  3/2 |    4 |           3.5756182   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3s    | 4P     |  1/2 |    2 |          10.3259086   |                    |          
                   |        |  3/2 |    4 |          10.3300943   |                    |          
                   |        |  5/2 |    6 |          10.3358955   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3s    | 2P     |  1/2 |    2 |          10.6796702   |                    |          
                   |        |  3/2 |    4 |          10.6899807   |                    |          
                   |        |      |      |                       |                    |           
2s.2p4             | 4P     |  5/2 |    6 |          10.9239079   |                    |          
                   |        |  3/2 |    4 |          10.9293521   |                    |          
                   |        |  1/2 |    2 |          10.9317574   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3p    | 2S*    |  1/2 |    2 |          11.6026334   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3p    | 4D*    |  1/2 |    2 |          11.7500915   |                    |          
                   |        |  3/2 |    4 |          11.7528948   |                    |          
                   |        |  5/2 |    6 |          11.7575318   |                    |          
                   |        |  7/2 |    8 |          11.7638463   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3p    | 4P*    |  1/2 |    2 |          11.8374297   |                    |          
                   |        |  3/2 |    4 |          11.8397085   |                    |          
                   |        |  5/2 |    6 |          11.8444769   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3p    | 4S*    |  3/2 |    4 |          11.9955752   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3p    | 2D*    |  3/2 |    4 |          12.0001428   |                    |          
                   |        |  5/2 |    6 |          12.0096115   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3p    | 2P*    |  1/2 |    2 |          12.1219573   |                    |          
                   |        |  3/2 |    4 |          12.1263786   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(1D).3s    | 2D     |  5/2 |    6 |          12.3566900   |                    |          
                   |        |  3/2 |    4 |          12.3567501   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4s    | 4P     |  1/2 |    2 |          12.847554    |                    |          
                   |        |  3/2 |    4 |          12.853090    |                    |          
                   |        |  5/2 |    6 |          12.861560    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).4s    | 2P     |  1/2 |    2 |          12.9123119   |                    |          
                   |        |  3/2 |    4 |          12.9218351   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).3d    | 2P     |  3/2 |    4 |          12.9706651   |                    |          
                   |        |  1/2 |    2 |          12.9754459   |                    |          
                   |        |      |      |                       |                    |           
