------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed    |  Unc.   |      Ritz      |  Unc.   |           Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level           |           Upper level           |  gi   gk  |Type|    TP  |        Line  |
          |   Wavelength   |   (nm)  |   Wavelength   |   (nm)  |           Int. |   (s^-1)   |      |      (eV)         (eV)      |--------------------------------|---------------------------------|           |    |   Ref. |        Ref.  |
          |    Air (nm)    |         |    Air (nm)    |         |                |            |      |                             | Conf.           | Term   | J   | Conf.           | Term    | J   |           |    |        |              |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       200.1232 |  0.0005 |       200.1229 |  0.0003 |           1000 | 1.40e+08   | C+   |  22.858830   -   29.052228  | 4d.4f           | 3G*    | 3   | 4d.(2D<5/2>).5g | 2[9/2]  | 4   |   7 - 9   |    |  T2192 |      L12094  |
Nb III    |       200.728  |  0.010  |                |         |            50w |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb IV     |       200.8344 |  0.0005 |       200.8340 |  0.0009 |          10000 | 3.2e+08    | C+   |  22.719066   -   28.890539  | 4d.4f           | 1D*    | 2   | 4d.(2D<3/2>).5g | 2[5/2]  | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb IV     |       202.7509 |  0.0005 |       202.7501 |  0.0003 |       15000000 | 5.3e+08    | C+   |   7.261343   -   13.374499  | 4d.5s           | 1D     | 2   | 4d.5p           | 1F*     | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb II     |       202.932  |  0.010  |                |         |           3300 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       203.247  |  0.010  |                |         |             50 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb IV     |       203.2497 |  0.0005 |       203.2486 |  0.0005 |           100M | 5.9e+08    | C+   |   6.671648   -   12.769813  | 4d.5s           | 3D     | 3   | 4d.5p           | 3F*     | 4   |   7 - 9   |    |  T2192 |      L12094  |
Nb II     |       203.299  |  0.010  |                |         |           3000 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3475  |
Nb IV     |       203.3996 |  0.0005 |       203.3991 |  0.0004 |       10000000 | 3.2e+08    | C+   |   6.525283   -   12.618934  | 4d.5s           | 3D     | 2   | 4d.5p           | 3D*     | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb IV     |       203.4346 |  0.0021 |       203.4321 |  0.0008 | 50000p(Nb III) | 6.6e+08    | C+   |  22.963835   -   29.056499  | 4d.4f           | 3G*    | 4   | 4d.(2D<5/2>).5g | 2[11/2] | 5   |   9 - 11  |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
