----------------------------------------------------------------------------------------------------------
Configuration     | Term   |    J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
------------------|--------|------|------|--------------------|--------------------|----------|-----------
                  |        |      |      |                    |                    |          |           
4d4.(5D).5s       | a 6D   |  1/2 |    2 |        0.000000    |                    |    3.323 |     L3465
                  |        |  3/2 |    4 |        0.019117    |                    |    1.863 |     L3465
                  |        |  5/2 |    6 |        0.048601    |                    |    1.652 |     L3465
                  |        |  7/2 |    8 |        0.086200    |                    |    1.582 |     L3465
                  |        |  9/2 |   10 |        0.130216    |                    |    1.549 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s2           | a 4F   |  3/2 |    4 |        0.141688    |                    |    0.402 |     L3465
                  |        |  5/2 |    6 |        0.196751    |                    |    1.029 |     L3465
                  |        |  7/2 |    8 |        0.267076    |                    |    1.235 |     L3465
                  |        |  9/2 |   10 |        0.347820    |                    |    1.330 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s2           | a 4P   |  1/2 |    2 |        0.619694    |                    |    2.650 |     L3465
                  |        |  3/2 |    4 |        0.656858    |                    |    1.721 |     L3465
                  |        |  5/2 |    6 |        0.739622    |                    |    1.596 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(5D).5s       | a 4D   |  1/2 |    2 |        1.042819    |                    |    0.06  |     L3465
                  |        |  3/2 |    4 |        1.079322    |                    |    1.197 |     L3465
                  |        |  5/2 |    6 |        1.121206    |                    |    1.360 |     L3465
                  |        |  7/2 |    8 |        1.177542    |                    |    1.420 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s2           | a 2G   |  7/2 |    8 |        1.094409    |                    |    0.885 |     L3465
                  |        |  9/2 |   10 |        1.156634    |                    |    1.103 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s2           | a 2D   |  3/2 |    4 |        1.170297    |                    |    0.953 |     L3465
                  |        |  5/2 |    6 |        1.269289    |                    |    1.206 |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s2           | a 2P   |  1/2 |    2 |        1.255471    |                    |    0.66  |     L3465
                  |        |  3/2 |    4 |        1.403264    |                    |    1.175 |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3H).5s       | a 4H   |  7/2 |    8 |        1.354247    |                    |    0.690 |     L3465
                  |        |  9/2 |   10 |        1.369291    |                    |    0.984 |     L3465
                  |        | 11/2 |   12 |        1.394559    |                    |    1.12  |     L3465
                  |        | 13/2 |   14 |        1.428874    |                    |    1.22  |     L3465
                  |        |      |      |                    |                    |          |           
4d5               | a 6S   |  5/2 |    6 |        1.406564    |                    |    1.99  |     L3465
                  |        |      |      |                    |                    |          |           
4d4.(3G).5s       | a 4G   |  5/2 |    6 |        1.490073    |                    |    0.742 |     L3465
                  |        |  7/2 |    8 |        1.504779    |                    |    1.081 |     L3465
                  |        |  9/2 |   10 |        1.532160    |                    |    1.23  |     L3465
                  |        | 11/2 |   12 |        1.613307    |                    |    1.26  |     L3465
                  |        |      |      |                    |                    |          |           
4d3.5s2           | a 2H   |  9/2 |   10 |        1.500472    |                    |    0.93  |     L3465
                  |        | 11/2 |   12 |        1.550171    |                    |    1.10  |     L3465
