---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
---------------------|--------|-----|------|---------------------|---------|-----------
                     |        |     |      |                     |         |           
4d4                  | 5D     |   0 |    1 |         0.0000000   |    0    |    L11823
                     |        |   1 |    3 |         0.0197115   |   1.500 |    L11823
                     |        |   2 |    5 |         0.0543498   |   1.490 |    L11823
                     |        |   3 |    7 |         0.0993518   |   1.486 |    L11823
                     |        |   4 |    9 |         0.1518587   |   1.495 |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5s          | 5F     |   1 |    3 |         0.2922079   |   0.000 |    L11823
                     |        |   2 |    5 |         0.3259708   |   0.996 |    L11823
                     |        |   3 |    7 |         0.3756261   |   1.248 |    L11823
                     |        |   4 |    9 |         0.4392216   |   1.350 |    L11823
                     |        |   5 |   11 |         0.5140431   |   1.390 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 3P2    |   0 |    1 |         0.6896300   |    0    |    L11823
                     |        |   1 |    3 |         0.7677486   |   1.495 |    L11823
                     |        |   2 |    5 |         0.9002894   |   1.450 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 3F2    |   2 |    5 |         0.9305962   |   0.712 |    L11823
                     |        |   3 |    7 |         0.9795550   |   1.070 |    L11823
                     |        |   4 |    9 |         1.0315948   |   1.230 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 3H     |   4 |    9 |         1.1790406   |   0.825 |    L11823
                     |        |   5 |   11 |         1.2165890   |   1.050 |    L11823
                     |        |   6 |   13 |         1.2629514   |   1.157 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 3G     |   3 |    7 |         1.2704605   |   0.765 |    L11823
                     |        |   4 |    9 |         1.3147568   |   1.052 |    L11823
                     |        |   5 |   11 |         1.3537182   |   1.180 |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5s          | 5P     |   1 |    3 |         1.3208566   |   2.477 |    L11823
                     |        |   2 |    5 |         1.3434726   |   1.815 |    L11823
                     |        |   3 |    7 |         1.4059300   |   1.663 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 1D2    |   2 |    5 |         1.5204456   |   1.003 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 3D     |   2 |    5 |         1.5877373   |   0.849 |    L11823
                     |        |   3 |    7 |         1.6185760   |   1.246 |    L11823
                     |        |   1 |    3 |         1.6264902   |   0.512 |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5s          | 3F     |   2 |    5 |         1.6712400   |   1.002 |    L11823
                     |        |   4 |    9 |         1.6943291   |   1.152 |    L11823
                     |        |   3 |    7 |         1.6973719   |   1.150 |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5s          | 3P     |   1 |    3 |         1.8134175   |   1.504 |    L11823
                     |        |   2 |    5 |         1.8177019   |   1.483 |    L11823
                     |        |   0 |    1 |         1.8198795   |    0    |    L11823
                     |        |     |      |                     |         |           
4d4                  | 1G2    |   4 |    9 |         1.8338199   |   1.083 |    L11823
                     |        |     |      |                     |         |           
4d4                  | 1I     |   6 |   13 |         1.9088518   |   1.000 |    L11823
                     |        |     |      |                     |         |           
