---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |  Rel. |     Aki     | Acc. |         Ei           Ek         |             Lower level             |             Upper level              |  gi   gk  |Type|               TP  |          Line  |
          |    Wavelength    |    Wavelength    |  Int. |   (s^-1)    |      |        (eV)         (eV)        |-------------------------------------|--------------------------------------|           |    |              Ref. |          Ref.  |
          |     Air (nm)     |     Air (nm)     |       |             |      |                                 | Conf.                | Term  | J    | Conf.                 | Term  | J    |           |    |                   |                |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O IV      |                  |        200.496   |       | 8.54e+05    | B    |   61.99147     -    68.1733     | 2s2.4p               | 2P*   | 1/2  | 2s.2p.(1P*).3p        | 2P    | 3/2  |   2 - 4   |    |           T5109LS |                |
O IV      |                  |        200.669   |       | 4.26e+06    | B    |   61.99679     -    68.1733     | 2s2.4p               | 2P*   | 3/2  | 2s.2p.(1P*).3p        | 2P    | 3/2  |   4 - 4   |    |           T5109LS |                |
O IV      |                  |        200.750   |       | 3.40e+06    | B    |   61.99147     -    68.1655     | 2s2.4p               | 2P*   | 1/2  | 2s.2p.(1P*).3p        | 2P    | 1/2  |   2 - 2   |    |           T5109LS |                |
O IV      |                  |        200.923   |       | 1.70e+06    | B    |   61.99679     -    68.1655     | 2s2.4p               | 2P*   | 3/2  | 2s.2p.(1P*).3p        | 2P    | 1/2  |   4 - 2   |    |           T5109LS |                |
O III     |        201.327   |                  |   360 |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |         L3481  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |        201.6589  |        201.65822 |    10 | 8.57e+06    | C    |   25.8373469   -    31.983597   | 2s2.2p2.(3P).3p      | 4P*   | 3/2  | 2s2.2p2.(3P).5s       | 4P    | 5/2  |   4 - 6   |    |           T5723LS |        L10549  |
O II      |        202.0340  |        202.03299 |    12 | 1.99e+07    | C    |   25.8487465   -    31.983597   | 2s2.2p2.(3P).3p      | 4P*   | 5/2  | 2s2.2p2.(3P).5s       | 4P    | 5/2  |   6 - 6   |    |           T5723LS |        L10549  |
O II      |        202.1445  |        202.14364 |    10 | 1.18e+07    | C    |   25.8316245   -    31.963117   | 2s2.2p2.(3P).3p      | 4P*   | 1/2  | 2s2.2p2.(3P).5s       | 4P    | 3/2  |   2 - 4   |    |           T5723LS |        L10549  |
O II      |        202.2768  |        202.2800  |    10 |             |      |   28.358142    -    34.485502?  | 2s2.2p2.(1D).3p      | 2F*   | 5/2  | 2s2.2p2.(1D).5s       | 2D    | 3/2  |   6 - 4   |    |                   |        L10549  |
O II      |                  |        202.2788  |       |             |      |   28.358142    -    34.485537   | 2s2.2p2.(1D).3p      | 2F*   | 5/2  | 2s2.2p2.(1D).5s       | 2D    | 5/2  |   6 - 6   |    |                   |         L7243  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
