----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
-----------------------|--------|-----|------|---------------------|--------------------|-----------
                       |        |     |      |                     |                    |           
2s2.2p4                | 3P     |   2 |    5 |         0.0000000   |                    |     L7288
                       |        |   1 |    3 |         0.0196224   |                    |          
                       |        |   0 |    1 |         0.0281416   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p4                | 1D     |   2 |    5 |         1.9673641   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p4                | 1S     |   0 |    1 |         4.1897463   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).3s       | 5S*    |   2 |    5 |         9.1460911   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).3s       | 3S*    |   1 |    3 |         9.5213637   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).3p       | 5P     |   1 |    3 |        10.7402250   |                    |          
                       |        |   2 |    5 |        10.7404755   |                    |          
                       |        |   3 |    7 |        10.7409313   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).3p       | 3P     |   1 |    3 |        10.9887922   |                    |          
                       |        |   2 |    5 |        10.9888615   |                    |          
                       |        |   0 |    1 |        10.9888810   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).4s       | 5S*    |   2 |    5 |        11.8376055   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).4s       | 3S*    |   1 |    3 |        11.9303855   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).3d       | 5D*    |   4 |    9 |        12.0786186   |                    |          
                       |        |   3 |    7 |        12.0786293   |                    |          
                       |        |   2 |    5 |        12.0786445   |                    |          
                       |        |   1 |    3 |        12.0786573   |                    |          
                       |        |   0 |    1 |        12.0786634   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).3d       | 3D*    |   1 |    3 |        12.0870183   |                    |          
                       |        |   2 |    5 |        12.0870270   |                    |          
                       |        |   3 |    7 |        12.0870381   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).4p       | 5P     |   1 |    3 |        12.2859621   |                    |          
                       |        |   2 |    5 |        12.2860455   |                    |          
                       |        |   3 |    7 |        12.2861938   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).4p       | 3P     |   1 |    3 |        12.3588648   |                    |          
                       |        |   2 |    5 |        12.3588749   |                    |          
                       |        |   0 |    1 |        12.3589071   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3s       | 3D*    |   3 |    7 |        12.5391923   |                    |          
                       |        |   2 |    5 |        12.5406948   |                    |          
                       |        |   1 |    3 |        12.5416738   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).5s       | 5S*    |   2 |    5 |        12.6608568   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).5s       | 3S*    |   1 |    3 |        12.6974690   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).3s       | 1D*    |   2 |    5 |        12.7284689   |                    |          
                       |        |     |      |                     |                    |           
