------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |           Level (eV) |   Uncertainty (eV) | Reference
-------------------|--------|------|------|----------------------|--------------------|---------------
                   |        |      |      |                      |                    |               
2s2.2p3            | 4S*    |  3/2 |    4 |          0.000000    |                    |        L11267
                   |        |      |      |                      |                    |               
2s2.2p3            | 2D*    |  5/2 |    6 |          3.324085    |                    |              
                   |        |  3/2 |    4 |          3.326567    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p3            | 2P*    |  3/2 |    4 |          5.017394    |                    |              
                   |        |  1/2 |    2 |          5.017640    |                    |              
                   |        |      |      |                      |                    |               
2s.2p4             | 4P     |  5/2 |    6 |         14.857920    |                    |              
                   |        |  3/2 |    4 |         14.878157    |                    |              
                   |        |  1/2 |    2 |         14.888377    |                    |              
                   |        |      |      |                      |                    |               
2s.2p4             | 2D     |  5/2 |    6 |         20.579946    |                    |              
                   |        |  3/2 |    4 |         20.580943    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3s    | 4P     |  1/2 |    2 |         22.9662476   |                    |              
                   |        |  3/2 |    4 |         22.9793027   |                    |              
                   |        |  5/2 |    6 |         22.9989600   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3s    | 2P     |  1/2 |    2 |         23.4191944   |                    |              
                   |        |  3/2 |    4 |         23.4415080   |                    |              
                   |        |      |      |                      |                    |               
2s.2p4             | 2S     |  1/2 |    2 |         24.265006    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3p    | 2S*    |  1/2 |    2 |         25.2856209   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3p    | 4D*    |  1/2 |    2 |         25.6313476   |                    |              
                   |        |  3/2 |    4 |         25.6382317   |                    |              
                   |        |  5/2 |    6 |         25.6495861   |                    |              
                   |        |  7/2 |    8 |         25.6650366   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3s    | 2D     |  5/2 |    6 |         25.661218    |                    |              
                   |        |  3/2 |    4 |         25.661347    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3p    | 4P*    |  1/2 |    2 |         25.8316245   |                    |              
                   |        |  3/2 |    4 |         25.8373469   |                    |              
                   |        |  5/2 |    6 |         25.8487465   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3p    | 2D*    |  3/2 |    4 |         26.2253999   |                    |              
                   |        |  5/2 |    6 |         26.2490332   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3p    | 4S*    |  3/2 |    4 |         26.3047205   |                    |              
                   |        |      |      |                      |                    |               
2s.2p4             | 2P     |  3/2 |    4 |         26.358274    |                    |              
                   |        |  1/2 |    2 |         26.379157    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).3p    | 2P*    |  1/2 |    2 |         26.5536856   |                    |              
                   |        |  3/2 |    4 |         26.5610938   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).3p    | 2F*    |  5/2 |    6 |         28.358142    |                    |              
                   |        |  7/2 |    8 |         28.361069    |                    |              
                   |        |      |      |                      |                    |               
