-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |    Aki     | Acc. |         Ei           Ek         |                 Lower level                  |                  Upper level                  |  gi   gk  |   Type|                                      TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)   |      |        (eV)         (eV)        |----------------------------------------------|-----------------------------------------------|           |       |                                     Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |       |            |      |                                 | Conf.                     | Term       | J   | Conf.                     | Term       | J    |           |       |                                          |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          0.5135 |       | 2.70e+11   | C+   |     0.0000     -  [2414.6402]   | 1s2                       | 1S         | 0   | 1s.10p                    | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          0.5146 |       | 3.68e+11   | A    |     0.0000     -  [2409.2488]   | 1s2                       | 1S         | 0   | 1s.9p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
Si XIII   |                 |          0.5162 |       | 5.25e+11   | A    |     0.0000     -  [2401.7119]   | 1s2                       | 1S         | 0   | 1s.8p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
Si XIII   |                 |          0.5186 |       | 7.86e+11   | A    |     0.0000     -  [2390.7199]   | 1s2                       | 1S         | 0   | 1s.7p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
Si XIII   |                 |          0.5223 |       | 1.25e+12   | A    |     0.0000     -  [2373.7862]   | 1s2                       | 1S         | 0   | 1s.6p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          0.5286 |       | 2.18e+12   | A    |     0.0000     -  [2345.7092]   | 1s2                       | 1S         | 0   | 1s.5p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
Si XIII   |                 |          0.5405 |       | 4.29e+12   | A    |     0.0000     -  [2294.0469]   | 1s2                       | 1S         | 0   | 1s.4p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
Si XIII   |                 |          0.5681 |       | 1.04e+13   | A+   |     0.0000     -  [2182.5462]   | 1s2                       | 1S         | 0   | 1s.3p                     | 1P*        | 1    |   1 - 3   |       |                                    T5072 |         |
Si XIII   |                 |          0.6648 |       | 3.76e+13   | A+   |     0.0000     -  [1864.975]    | 1s2                       | 1S         | 0   | 1s.2p                     | 1P*        | 1    |   1 - 3   |       |                              T5072,T3585 |         |
Si XIII   |                 |          0.6688 |       |            |      |     0.0000     -  [1853.7553]   | 1s2                       | 1S         | 0   | 1s.2p                     | 3P*        | 1    |   1 - 3   |       |                                          |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          0.6740 |       |            |      |     0.0000     -  [1839.4227]   | 1s2                       | 1S         | 0   | 1s.2s                     | 3S         | 1    |   1 - 3   | M1    |                                          |         |
