--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
---------------------------|-------------|-----|------|--------------------------------|--------------------|-------------------------------------------|-----------
                           |             |     |      |                                |                    |                                           |           
3s2.3p2                    | 3P          |   0 |    1 |          0.0000000             |                    |                                           |     L5815
                           |             |   1 |    3 |          0.0095610             |                    |                                           |     L5815
                           |             |   2 |    5 |          0.0276679             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p2                    | 1D          |   2 |    5 |          0.7809579             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p2                    | 1S          |   0 |    1 |          1.9086586             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p3                     | 5S*         |   2 |    5 |          4.1319040             |                    | 100                                       |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4s                  | 3P*         |   0 |    1 |          4.9200852             |                    |  99                                       |     L5815
                           |             |   1 |    3 |          4.9296471             |                    |  98                  :     1  3p.4s  1P*  |     L5815
                           |             |   2 |    5 |          4.9537952             |                    |  99                                       |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4s                  | 1P*         |   1 |    3 |          5.0823459             |                    |  97                  :     1  3p.3d  1P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p3                     | 3D*         |   1 |    3 |          5.6135319             |                    |  56                  :    39  3p.nd  3D*  |     L5815
                           |             |   2 |    5 |          5.6156943             |                    |  56                  :    39  3p.nd  3D*  |     L5815
                           |             |   3 |    7 |          5.6191930             |                    |  56                  :    39  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4p                  | 1P          |   1 |    3 |          5.8624764             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.3d                  | 1D*         |   2 |    5 |          5.8708445             |                    |  92                  :     4  3s.3p3 1D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4p                  | 3D          |   1 |    3 |          5.9537304             |                    |                                           |     L5815
                           |             |   2 |    5 |          5.9639280             |                    |                                           |     L5815
                           |             |   3 |    7 |          5.9840096             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4p                  | 3P          |   0 |    1 |          6.0787337             |                    |                                           |     L5815
                           |             |   1 |    3 |          6.0827393             |                    |                                           |     L5815
                           |             |   2 |    5 |          6.0986113             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4p                  | 3S          |   1 |    3 |          6.1247785             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.3d                  | 3F*         |   2 |    5 |          6.1807152             |                    |  98                  :     1  3p.3d  3P*  |     L5815
                           |             |   3 |    7 |          6.1909991             |                    |  99                  :     1  3p.4d  3F*  |     L5815
                           |             |   4 |    9 |          6.206004              |                    |  99                  :     1  3p.4d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.4p                  | 1D          |   2 |    5 |          6.2226912             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
