-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |         Rel. |    Aki     | Acc. |     Ei           Ek     |           Lower level           |           Upper level           |  gi   gk  |Type|    TP  |            Line  |
          |    Wavelength    |    Wavelength    |         Int. |   (s^-1)   |      |    (eV)         (eV)    |---------------------------------|---------------------------------|           |    |   Ref. |            Ref.  |
          |     Air (nm)     |     Air (nm)     |              |            |      |                         | Conf.           | Term   | J    | Conf.           | Term   | J    |           |    |        |                  |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta IV     |        205.575   |                  |           85 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta IV     |        207.901   |                  |           83 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta IV     |        211.153   |                  |           75 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta II     |        214.013   |                  |         1100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        214.687   |        214.6874+ |         1500 |            |      |  0.127869  -   5.901154 | 5d3.(4F).6s     | a 5F   | 2    |                 | 475*   | 1    |   5 - 3   |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        215.062   |                  |          740 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        216.501   |                  |          600 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        217.803   |                  |          740 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        218.271   |                  |         1200 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        219.320   |                  |          540 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        219.388   |                  |         1100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        219.603   |        219.6048+ |         1500 |            |      |  0.547477  -   6.191501 | 5d3.(4F).6s     | a 5F   | 4    |                 | 499*   | 4    |   9 - 9   |    |        |           L3475  |
Ta IV     |        219.958   |                  |           90 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta II     |        219.967   |        219.9683+ |         1500 |            |      |  0.000000  -   5.634699 | 5d3.(4F).6s     | a 5F   | 1    |                 | 454*   | 2    |   3 - 5   |    |        |           L3475  |
Ta II     |        220.714   |                  |          500 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta IV     |        220.764   |                  |           90 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L4307  |
Ta II     |        221.003   |        221.0045+ |      1400bl* |            |      |  0.000000  -   5.608283 | 5d3.(4F).6s     | a 5F   | 1    |                 | 5D*    | 1    |   3 - 3   |    |        |           L3475  |
