------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
---------------------|---------|------|------|------------------|--------------------|----------|-----------
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 4F    |  3/2 |    4 |       0.000000   |                    |   0.447  |     L3466
                     |         |  5/2 |    6 |       0.249221   |                    |   1.031  |          
                     |         |  7/2 |    8 |       0.491463   |                    |   1.218  |          
                     |         |  9/2 |   10 |       0.696920   |                    |   1.272  |          
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 4P    |  1/2 |    2 |       0.750032   |                    |   2.454  |          
                     |         |  3/2 |    4 |       0.752449   |                    |   1.527  |          
                     |         |  5/2 |    6 |       1.147279   |                    |   1.580  |          
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 2G    |  7/2 |    8 |       1.203314   |                    |   0.912  |          
                     |         |  9/2 |   10 |       1.325431   |                    |   1.063  |          
                     |         |      |      |                  |                    |          |           
5d4.(5D).6s          | a 6D    |  1/2 |    2 |       1.209958   |                    |   3.020  |          
                     |         |  3/2 |    4 |       1.236843   |                    |   1.542  |          
                     |         |  5/2 |    6 |       1.394032   |                    |   1.641  |          
                     |         |  7/2 |    8 |       1.516917   |                    |   1.578  |          
                     |         |  9/2 |   10 |       1.655369   |                    |   1.533  |          
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 2P    |  3/2 |    4 |       1.357654   |                    |   1.407  |          
                     |         |  1/2 |    2 |       1.462038   |                    |   1.116  |          
                     |         |      |      |                  |                    |          |           
5d5                  | a 6S    |  5/2 |    6 |       1.462535   |                    |   2.134  |          
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 2D    |  5/2 |    6 |       1.595177   |                    |   1.214  |          
                     |         |  3/2 |    4 |       1.971816   |                    |   1.199  |          
                     |         |      |      |                  |                    |          |           
                     | 148     |  5/2 |    6 |       1.844352?  |                    |          |          
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 2H    | 11/2 |   12 |       1.873915   |                    |   1.021  |          
                     |         |  9/2 |   10 |       1.908242   |                    |   1.014  |          
                     |         |      |      |                  |                    |          |           
5d3.6s2              | a 2F    |  5/2 |    6 |       2.135562   |                    |   0.882  |          
                     |         |  7/2 |    8 |       2.155232   |                    |   1.125  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5F).6p       | z 6G*   | 13/2 |   14 |                  |                    |          |          
                     |         |  3/2 |    4 |       2.155422   |                    |          |          
                     |         |  5/2 |    6 |       2.377825   |                    |   0.851  |          
                     |         |  7/2 |    8 |       2.549147   |                    |   1.194  |          
                     |         |  9/2 |   10 |       2.812174   |                    |   1.231  |          
                     |         | 11/2 |   12 |       3.100700   |                    |   1.302  |          
                     |         |      |      |                  |                    |          |           
                     | 179*    |  5/2 |    6 |       2.230939   |                    |   0.732  |          
                     |         |      |      |                  |                    |          |           
5d2.6s2.(3F).6p      | z 4D*   |  1/2 |    2 |       2.294293   |                    |   0.172  |          
                     |         |  3/2 |    4 |       2.437254   |                    |   1.018  |          
                     |         |  5/2 |    6 |       2.624449   |                    |   1.120  |          
