---------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |       Level (eV) |   Uncertainty (eV) |   Landé | Reference
---------------------|--------|-----|------|------------------|--------------------|---------|-----------
                     |        |     |      |                  |                    |         |           
5d3.(4F).6s          | a 5F   |   1 |    3 |       0.000000   |                    |   0.000 |     L3466
                     |        |   2 |    5 |       0.127869   |                    |   1.008 |     L3466
                     |        |   3 |    7 |       0.327590   |                    |   1.250 |     L3466
                     |        |   4 |    9 |       0.547477   |                    |   1.350 |     L3466
                     |        |   5 |   11 |       0.767056   |                    |   1.33  |     L3466
                     |        |     |      |                  |                    |         |           
5d2.6s2              | a 3F   |   2 |    5 |       0.394275   |                    |   0.750 |     L3466
                     |        |   3 |    7 |       0.846979   |                    |   1.098 |     L3466
                     |        |   4 |    9 |       1.208391   |                    |   1.225 |     L3466
                     |        |     |      |                  |                    |         |           
5d2.6s2              | a 3P   |   0 |    1 |       0.511406   |                    |   0.000 |     L3466
                     |        |   1 |    3 |       0.660918   |                    |   1.550 |     L3466
                     |        |   2 |    5 |       0.701503   |                    |   1.340 |     L3466
                     |        |     |      |                  |                    |         |           
5d3.(4F).6s          | b 3F   |   2 |    5 |       1.201464   |                    |   1.063 |     L3466
                     |        |   3 |    7 |       1.807814   |                    |   1.004 |     L3466
                     |        |   4 |    9 |       2.292923   |                    |   1.23  |     L3466
                     |        |     |      |                  |                    |         |           
5d3.(4P).6s          | a 5P   |   1 |    3 |       1.328280   |                    |   2.374 |     L3466
                     |        |   2 |    5 |       1.472369   |                    |   1.48  |     L3466
                     |        |   3 |    7 |       1.541849   |                    |   1.614 |     L3466
                     |        |     |      |                  |                    |         |           
5d3.(2G).6s          | a 3G   |   3 |    7 |       1.458939   |                    |   0.915 |     L3466
                     |        |   4 |    9 |       1.575259   |                    |   1.021 |     L3466
                     |        |   5 |   11 |       1.590834   |                    |   1.280 |     L3466
                     |        |     |      |                  |                    |         |           
5d4                  | a 5D   |   0 |    1 |       1.562309   |                    |   0.000 |     L3466
                     |        |   1 |    3 |       1.670737   |                    |   1.510 |     L3466
                     |        |   2 |    5 |       1.797139   |                    |   1.472 |     L3466
                     |        |   3 |    7 |       1.949783   |                    |   1.476 |     L3466
                     |        |   4 |    9 |       2.136399   |                    |   1.23  |     L3466
                     |        |     |      |                  |                    |         |           
5d2.6s2              | a 1D   |   2 |    5 |       1.681257   |                    |   1.111 |     L3466
                     |        |     |      |                  |                    |         |           
5d2.6s2              | a 1G   |   4 |    9 |       1.761261   |                    |         |     L3466
                     |        |     |      |                  |                    |         |           
5d3.(2D2).6s         | a 3D   |   1 |    3 |       1.813610   |                    |   0.850 |     L3466
                     |        |   2 |    5 |       2.128623   |                    |   1.211 |     L3466
                     |        |   3 |    7 |       2.300382   |                    |   1.33  |     L3466
                     |        |     |      |                  |                    |         |           
5d3.(2H).6s          | a 3H   |   6 |   13 |                  |                    |         |     L3466
                     |        |   5 |   11 |                  |                    |         |     L3466
                     |        |   4 |    9 |       1.965288   |                    |   1.16  |     L3466
                     |        |     |      |                  |                    |         |           
5d3.(4P).6s          | b 3P   |   0 |    1 |                  |                    |         |     L3466
