-----------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |                   Level    |  Landé | Leading percentages                            | Reference
--------------------|--------|------|----------------------------|--------|------------------------------------------------|-------------
                    |        |      |                            |        |                                                |             
3d2.(3F).4s         | a 4F   |  3/2 |             0.0000         |        | 100                                            |      L17885
                    |        |  5/2 |             0.01166867     |        | 100                                            |      L17885
                    |        |  7/2 |             0.02798372     |        | 100                                            |      L17885
                    |        |  9/2 |             0.04878107     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d3                 | b 4F   |  3/2 |             0.11257358     |        | 100                                            |      L17885
                    |        |  5/2 |             0.12199000     |        | 100                                            |      L17885
                    |        |  7/2 |             0.13481497     |        | 100                                            |      L17885
                    |        |  9/2 |             0.15074407     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).4s         | a 2F   |  5/2 |             0.57388034     |        |  99                                            |      L17885
                    |        |  7/2 |             0.60723962     |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).4s         | a 2D   |  3/2 |             1.07997272     |   0.80 |  72         :    17  3d3                 b 2D2 |      L17885
                    |        |  5/2 |             1.08416005     |        |  74         :    16  3d3                 b 2D2 |      L17885
                    |        |      |                            |        |                                                |             
3d3                 | a 2G   |  7/2 |             1.11558345     |        |  96                                            |      L17885
                    |        |  9/2 |             1.13052323     |        |  96                                            |      L17885
                    |        |      |                            |        |                                                |             
3d3                 | a 4P   |  1/2 |             1.16095610     |   2.63 |  96                                            |      L17885
                    |        |  3/2 |             1.16493097     |   1.74 |  93                                            |      L17885
                    |        |  5/2 |             1.18010039     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d3                 | a 2P   |  1/2 |             1.22137013     |   0.66 |  62         :    24  3d2.(3P).4s         b 2P  |      L17885
                    |        |  3/2 |             1.23686628     |   1.33 |  48         :    27  3d2.(3P).4s         b 4P  |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4s         | b 4P   |  1/2 |             1.2240835      |   2.60 |  90                                            |      L17885
                    |        |  3/2 |             1.23125937     |        |  72         :    18  3d3                 a 2P  |      L17885
                    |        |  5/2 |             1.24291689     |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d3                 | b 2D2  |  3/2 |             1.56577727     |        |  53         :    26  3d2.(1D).4s         a 2D  |      L17885
                    |        |  5/2 |             1.58182259     |        |  54         :    24  3d2.(1D).4s         a 2D  |      L17885
                    |        |      |                            |        |                                                |             
3d3                 | a 2H   |  9/2 |             1.57176069     |        | 100                                            |      L17885
                    |        | 11/2 |             1.58387541     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1G).4s         | b 2G   |  9/2 |             1.89169543     |        |  96                                            |      L17885
                    |        |  7/2 |             1.89270557     |        |  96                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).4s         | b 2P   |  1/2 |             2.04771506     |   0.66 |  72         :    28  3d3                 a 2P  |      L17885
                    |        |  3/2 |             2.06126755     |   1.33 |  72         :    28  3d3                 a 2P  |      L17885
                    |        |      |                            |        |                                                |             
