-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |   Unc.    |        Ritz        |   Unc.    |            Rel. |    Aki     | Acc. |           Ei           Ek           |             Lower level              |               Upper level               |  gi   gk  |   Type|         TP  |            Line  |
          |     Wavelength     |    (nm)   |     Wavelength     |    (nm)   |            Int. |   (s^-1)   |      |          (eV)         (eV)          |--------------------------------------|-----------------------------------------|           |       |        Ref. |            Ref.  |
          |      Air (nm)      |           |      Air (nm)      |           |                 |            |      |                                     | Conf.                 | Term  | J    | Conf.                 | Term     | J    |           |       |             |                  |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         200.0187   |  0.0016   |         200.01699  |  0.00016  |           3200h |            |      |     3.7590188    -      9.955694    | 3d3.(2F).4s           | c 3F  | 4    | 3d3.(4F).5p           | 3F*      | 4    |   9 - 9   |       |             |      L10089c179  |
V XVI     |                    |           |         200.06     |  0.10     |                 | 1.0e-01    | E    |     0.0000       -      6.195       | 2s2.2p4               | 3P    | 2    | 2s2.2p4               | 3P       | 0    |   5 - 1   | E2    |       T3941 |                  |
V II      |         200.11448  |  0.00008  |         200.114522 |  0.000017 |            8400 | 1.8e+07    | D+   |     2.6013033    -      8.7949591   | 3d4                   | a 1D2 | 2    | 3d2.(3F).4s.4p.(3P*)  | 1F*      | 3    |   5 - 7   |       |       T9770 |          L18516  |
V II      |         200.14514  |  0.00011  |         200.145193 |  0.000017 |           16000 | 6.7e+06    | D+   |     2.51443043   -      8.7071373   | 3d3.(2H).4s           | b 3H  | 5    | 3d2.(3F).4s.4p.(3P*)  | v 3G*    | 5    |  11 - 11  |       |       T9770 |          L18516  |
V II      |         200.16535  |  0.00003  |         200.165361 |  0.000013 |           14000 | 3.2e+07    | D+   |     2.6013033    -      8.7933863   | 3d4                   | a 1D2 | 2    | 3d2.(3F).4s.4p.(3P*)  | 1D*      | 2    |   5 - 5   |       |       T9770 |          L18516  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V IV      |         200.2480   |  0.0010   |         200.249+   |  0.006    |             100 | 3.6e+08    | D    |    11.92680      -     18.11629     | 3p6.3d.4s             | 3D    | 1    | 3p6.3d.4p             | 3D*      | 1    |   3 - 3   |       |       T2757 |     L147,L11926  |
V II      |         200.2826   |  0.0020   |         200.280290 |  0.000013 |             120 |            |      |     0.3921580    -      6.58068823  | 3d3.(4F).4s           | a 5F  | 5    | 3d3.(2H).4p           | z 3I*    | 6    |  11 - 13  |       |             |       L8201c179  |
V II      |         200.4036   |  0.0020   |         200.406612 |  0.000017 |             170 |            |      |     2.03601012   -      8.2206402   | 3d3.(2G).4s           | b 3G  | 4    | 3d3.(2F).4p           | x 1F*    | 3    |   9 - 7   |       |             |       L8201c179  |
