---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
----------------------|---------|------|------|----------------------|----------------------|-----------|-------------------------------------------------|----------------------
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.4s2               | a 4F    |  3/2 |    4 |         0.00000000   |          0.00000025  |   0.39848 |  92         :     5  3d3.(4F).4p2.(1S)     4F   |          L20010,L193
                      |         |  5/2 |    6 |         0.01703332   |          0.00000017  |   1.02839 |  94         :     5  3d3.(4F).4p2.(1S)     4F   |   L15916,L20010,L193
                      |         |  7/2 |    8 |         0.04010046   |          0.00000016  |   1.23821 |  92         :     5  3d3.(4F).4p2.(1S)     4F   |   L15916,L20010,L193
                      |         |  9/2 |   10 |         0.06855768   |          0.00000025  |   1.33360 |  94         :     5  3d3.(4F).4p2.(1S)     4F   |   L15916,L20010,L193
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4s           | a 6D    |  1/2 |    2 |         0.26188959   |          0.00000025  |   3.33847 |  98                                             |   L15916,L20010,L193
                      |         |  3/2 |    4 |         0.26696538   |          0.00000025  |   1.86829 |  98                                             |   L15916,L20010,L193
                      |         |  5/2 |    6 |         0.27526426   |          0.00000025  |   1.65831 |  10                                             |   L15916,L20010,L193
                      |         |  7/2 |    8 |         0.28657323   |          0.00000025  |   1.58833 |  10                                             |   L15916,L20010,L193
                      |         |  9/2 |   10 |         0.30063800   |          0.00000025  |   1.55647 |  98                                             |   L15916,L20010,L193
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4s           | a 4D    |  1/2 |    2 |         1.04308017   |          0.00000025  |   0.00    |  94                                             | L15916,L20010,L14162
                      |         |  3/2 |    4 |         1.05091907   |          0.00000016  |   1.19    |  94                                             | L15916,L20010,L14162
                      |         |  5/2 |    6 |         1.06360364   |          0.00000017  |   1.35    |  94                                             | L15916,L20010,L14162
                      |         |  7/2 |    8 |         1.08061490   |          0.00000025  |   1.39    |  94                                             | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.4s2               | a 4P    |  1/2 |    2 |         1.18338391   |          0.00000025  |   2.59    |  77         :    16  3d4.(3P2).4s          4P   | L15916,L20010,L14162
                      |         |  3/2 |    4 |         1.19484055   |          0.00000025  |   1.70    |  76         :    16  3d4.(3P2).4s          4P   | L15916,L20010,L14162
                      |         |  5/2 |    6 |         1.21809837   |          0.00000025  |   1.55    |  79         :    15  3d4.(3P2).4s          4P   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.4s2               | a 2G    |  7/2 |    8 |         1.3505003    |          0.0000004   |   0.88    |  92         :     5  3d3.(2G).4p2.(1S)     2G   | L15916,L20010,L14162
                      |         |  9/2 |   10 |         1.37629849   |          0.00000025  |   1.13    |  90         :     5  3d3.(2G).4p2.(1S)     2G   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.4s2               | a 2P    |  3/2 |    4 |         1.7111742    |          0.0000006   |   1.20    |  58         :    24  3d3.4s2               2D2  | L15916,L20010,L14162
