--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |           Level (eV) |     Uncertainty (eV) |   Landé | Leading percentages                                | Reference
---------------------|-----------|-----|------|----------------------|----------------------|---------|----------------------------------------------------|--------------
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | a 5D      |   0 |    1 |         0.0000000    |          0.0000004   |         | 100                                                |       L20009
                     |           |   1 |    3 |         0.00447604   |          0.00000015  |         | 100                                                |       L20009
                     |           |   2 |    5 |         0.01322194   |          0.00000012  |         | 100                                                |       L20009
                     |           |   3 |    7 |         0.02588667   |          0.00000010  |         | 100                                                |       L20009
                     |           |   4 |    9 |         0.04204622   |          0.00000016  |         | 100                                                |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4s          | a 5F      |   1 |    3 |         0.32298379   |          0.00000015  |         | 100                                                |       L20009
                     |           |   2 |    5 |         0.33317145   |          0.00000011  |   0.97  | 100                                                | L20009,L8201
                     |           |   3 |    7 |         0.34826653   |          0.00000010  |   1.20  | 100                                                | L20009,L8201
                     |           |   4 |    9 |         0.36803324   |          0.00000012  |   1.30? | 100                                                | L20009,L8201
                     |           |   5 |   11 |         0.3921580    |          0.0000003   |   1.28? | 100                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4s          | a 3F      |   2 |    5 |         1.07126861   |          0.00000012  |   0.65  |  93         :     5  3d4                  3F2      | L20009,L8201
                     |           |   3 |    7 |         1.09627456   |          0.00000007  |   1.04  |  93         :     5  3d4                  3F2      | L20009,L8201
                     |           |   4 |    9 |         1.12799448   |          0.00000010  |   1.22  |  92         :     6  3d4                  3F2      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | a 3P2     |   0 |    1 |         1.4004649    |          0.0000004   |         |  54         :    37  3d4                  3P1      |       L20009
                     |           |   1 |    3 |         1.42765131   |          0.00000017  |   1.48  |  54         :    37  3d4                  3P1      | L20009,L8201
                     |           |   2 |    5 |         1.47643597   |          0.00000017  |   1.49  |  54         :    37  3d4                  3P1      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | a 3H      |   4 |    9 |         1.55539445   |          0.00000015  |   0.83? |  98                                                | L20009,L8201
                     |           |   5 |   11 |         1.56486477   |          0.00000016  |   1.02  |  98                                                | L20009,L8201
                     |           |   6 |   13 |         1.57535311   |          0.00000014  |   1.27? |  99                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d4                  | b 3F2     |   2 |    5 |         1.67265646   |          0.00000014  |   0.59  |  68         :    24  3d4                  3F1      | L20009,L8201
                     |           |   3 |    7 |         1.67907411   |          0.00000016  |   1.06  |  68         :    23  3d4                  3F1      | L20009,L8201
                     |           |   4 |    9 |         1.68729342   |          0.00000011  |   1.19  |  67         :    23  3d4                  3F1      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4s          | a 5P      |   1 |    3 |         1.67524959   |          0.00000024  |   2.39  | 100                                                | L20009,L8201
                     |           |   2 |    5 |         1.6855312    |          0.0000004   |   1.78  |  99                                                | L20009,L8201
