---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |    Rel. |     Aki     | Acc. |        Ei           Ek        |             Lower level             |               Upper level                |  gi   gk  |Type|    TP  |       Line  |
          |     Wavelength     |     Wavelength     |    Int. |   (s^-1)    |      |       (eV)         (eV)       |-------------------------------------|------------------------------------------|           |    |   Ref. |       Ref.  |
          |      Air (nm)      |      Air (nm)      |         |             |      |                               | Conf.            | Term      | J    | Conf.                | Term       | J    |           |    |        |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         199.98203  |         199.981983 |       6 |             |      |   0.58474394  -    6.7825041  | 5d4.(5D).6s      | 6D        | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |     L11762  |
W III     |         199.9887   |         199.9887   |      80 |             |      |   3.782419    -    9.979970   | 5d3.(2G).6s      | 3G        | 4    | 5d3.(4F).6p          | 3G*        | 5    |   9 - 11  |    |        |     L10405  |
W III     |         199.9950   |         199.9952   |   40bl* |             |      |   4.878151    -   11.075502   |                  |           | 2    | 5d2.(3F).6s.6p.(3P*) | 5F*        | 3    |   5 - 7   |    |        |     L10405  |
W III     |         199.9950   |         199.9952   |   40bl* |             |      |   2.566054    -    8.763405   | 5d4              | 3D        | 2    | 5d3.(4F).6p          | 5D*        | 3    |   5 - 7   |    |        |     L10405  |
W II      |         200.0271   |         200.02676  |       5 |             |      |   2.90748125  -    9.1038542  | 5d4.(3D).6s      | 4D        | 5/2  |                      |            | 7/2  |   6 - 8   |    |        |      L6520  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         200.040    |                    |       3 |             |      |                               |                  |           |      |                      |            |      |           |    |        |       L153  |
W III     |         200.0480   |         200.0478   |      80 |             |      |   2.891039    -    9.086760   | 5d4              | 3G        | 5    | 5d3.(4F).6p          | 5G*        | 5    |  11 - 11  |    |        |     L10405  |
W III     |         200.0850   |         200.0852   |     30d |             |      |   5.849777    -   12.044339   |                  |           | 4    |                      |            | 4    |   9 - 9   |    |        |     L10405  |
W I       |         200.097    |         200.0978   |       3 |             |      |   0.412313    -    6.606488   | 5d4.6s2          | 5D        | 2    |                      | *          | 2    |   5 - 5   |    |        |       L153  |
W III     |         200.1020   |         200.1018   |      5d |             |      |   5.133438    -   11.327488   | 5d3.(2F).6s      | 3F        | 2    | 5d3.(2P).6p          | 3P*        | 2    |   5 - 5   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W I       |         200.115    |         200.1141   |       1 |             |      |   0.771099    -    6.964766   | 5d4.6s2          | 5D        | 4    |                      | *          | 4    |   9 - 9   |    |        |       L153  |
W III     |         200.1216   |         200.1222   |       1 |             |      |   5.898898    -   12.092315   | 5d4              | 1D1       | 2    |                      |            | 3    |   5 - 7   |    |        |     L10405  |
W II      |         200.17146  |         200.171206 |     13w |             |      |   0.39333652  -    6.5852388  | 5d4.(5D).6s      | 6D        | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
