---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term       |   J |    g |      Level (eV) |   Uncertainty (eV) |  Landé | Leading percentages                                    | Reference
----------------------|------------|-----|------|-----------------|--------------------|--------|--------------------------------------------------------|-----------
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 5D         |   0 |    1 |      0.000000   |          0.000012  |        |  69                                                    |    L12177
                      |            |   1 |    3 |      0.207090   |          0.000012  |   1.51 |  84                                                    |    L12177
                      |            |   2 |    5 |      0.412313   |          0.000012  |   1.48 |  88                                                    |    L12177
                      |            |   3 |    7 |      0.598844   |          0.000012  |   1.50 |  85                                                    |    L12177
                      |            |   4 |    9 |      0.771099   |          0.000012  |   1.49 |  77                                                    |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(6S).6s           | 7S         |   3 |    7 |      0.365913   |          0.000012  |   1.98 |  94                                                    |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3P2        |   0 |    1 |      1.181329   |          0.000012  |        |  47                         :    24               5D   |    L12177
                      |            |   1 |    3 |      1.649870   |          0.000012  |   1.32 |  67                                                    |    L12177
                      |            |   2 |    5 |      2.387137   |          0.000012  |   1.18 |  23                         :    20  5d5.(4G).6s  5G   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3H         |   4 |    9 |      1.507891   |          0.000012  |   0.99 |  42                         :    19               3G   |    L12177
                      |            |   5 |   11 |      1.868433   |          0.000012  |   1.05 |  61                                                    |    L12177
                      |            |   6 |   13 |      2.108785   |          0.000012  |   1.4  |  80                                                    |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3G         |   3 |    7 |      1.655010   |          0.000012  |   0.92 |  49                         :    23               3F4  |    L12177
                      |            |   4 |    9 |      2.037223   |          0.000012  |   1.02 |  48                         :    19               3H   |    L12177
                      |            |   5 |   11 |      2.458116   |          0.000012  |   1.20 |  48  5d5.(4G).6s 5G         :    24  5d4.6s2      3G   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3F2        |   2 |    5 |      1.708218   |          0.000012  |   1.09 |  33                         :    28               3D   |    L12177
                      |            |   4 |    9 |      2.120999   |          0.000012  |   1.19 |  43                         :    22               3H   |    L12177
                      |            |   3 |    7 |      2.194667   |          0.000012  |   1.02 |  52                         :    23               3G   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d4.6s2               | 3D         |   2 |    5 |      1.856810   |          0.000012  |   1.06 |  11                         :    46               3F4  |    L12177
                      |            |   3 |    7 |      1.916797   |          0.000012  |   1.17 |  36                         :    20  5d5.(2D3).6s 3D   |    L12177
                      |            |   1 |    3 |      2.241985   |          0.000012  |   0.7  |  46                         :    21  5d5.(2D3).6s 3D   |    L12177
                      |            |     |      |                 |                    |        |                                                        |           
5d5.(4G).6s           | 5G         |   2 |    5 |      2.246202   |          0.000012  |   1.08 |  57                         :    15  5d4.6s2      3P2  |    L12177
                      |            |   3 |    7 |      2.352539   |          0.000012  |   1.06 |  61                                                    |    L12177
                      |            |   4 |    9 |      2.387469   |          0.000012  |   1.20 |  82                                                    |    L12177
