-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                                                    | Reference
--------------------|--------|------|------|----------------------|----------------------|----------|------------------------------------------------------------------------|-----------
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(5D).6s         | 6D     |  1/2 |    2 |         0.00000000   |          0.00000007  |    3.186 |  80                                 :     8  5d4.(3P2).6s         4P   |    L12177
                    |        |  3/2 |    4 |         0.18831079   |          0.00000010  |    1.839 |  90                                 :     4  5d4.(3P1).6s         4P   |    L12177
                    |        |  5/2 |    6 |         0.39333652   |          0.00000012  |    1.639 |  95                                 :     1  5d4.(3P1).6s         4P   |    L12177
                    |        |  7/2 |    8 |         0.58474394   |          0.00000012  |    1.563 |  94                                 :     2  5d4.(3F2).6s         4F   |    L12177
                    |        |  9/2 |   10 |         0.76214140   |          0.00000012  |    1.522 |  88                                 :     7  5d4.(3F2).6s         4F   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d5                 | 6S     |  5/2 |    6 |         0.91999510   |          0.00000012  |    1.913 |  81                                 :    11  5d5                  4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d3.6s2             | 4F     |  3/2 |    4 |         1.08006032   |          0.00000014  |    0.624 |  54                                 :    12  5d4.(3F2).6s         4F   |    L12177
                    |        |  5/2 |    6 |         1.40114839   |          0.00000014  |    1.084 |  55                                 :    19  5d4.(3F2).6s         4F   |    L12177
                    |        |  7/2 |    8 |         1.66286849   |          0.00000014  |    1.186 |  40                                 :    26  5d4.(3F2).6s         4F   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  1/2 |    2 |         1.09511869   |          0.00000017  |    2.383 |  30  5d4.(3P2).6s 4P                :    16  5d4.(5D).6s          6D   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  3/2 |    4 |         1.31330075   |          0.00000014  |    1.471 |  29  5d4.(3P2).6s 4P                :    17  5d3.6s2              4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(5D).6s         | 4D     |  1/2 |    2 |         1.63328561   |          0.00000012  |    0.455 |  62                                 :    10  5d5                  4D   |    L12177
                    |        |  3/2 |    4 |         1.81442640   |          0.00000012  |    1.183 |  55                                 :    15  5d5                  4D   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         1.66561239   |          0.00000014  |    1.526 |  25  5d4.(3P2).6s 4P                :    15  5d3.6s2              4P   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  9/2 |   10 |         1.84205306   |          0.00000015  |    1.234 |  24  5d4.(3F2).6s 4F                :    22  5d3.6s2              4F   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
                    |        |  5/2 |    6 |         1.85576385   |          0.00000014  |    1.013 |  25  5d4.(5D).6s 4D                 :    18  5d4.(3G).6s          4G   |    L12177
                    |        |      |      |                      |                      |          |                                                                        |           
5d4.(3H).6s         | 4H     |  7/2 |    8 |         1.87798579   |          0.00000015  |    0.872 |  46                                 :    12  5d3.6s2              4F   |    L12177
