-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          199.99988   |          199.999919  |        10 |             |      |    19.76226091  -     25.95946532 | 3s2.3p4.(3P).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 2F      | 5/2  |       |                      |  L11520  |
Ar II     |          200.3325    |          200.331919  |         1 |             |      |    19.64258190  -     25.82951751 | 3s2.3p4.(3P).4p       | 4D*     | 1/2  | 3s2.3p4.(3P).7s        | 4P      | 1/2  |       |                      |  L14821  |
Ar II     |          200.39101   |          200.390976  |        10 |             |      |    19.86715687  -     26.0522694  | 3s2.3p4.(3P).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).6d        | 2D      | 5/2  |       |                      |  L11520  |
Ar II     |          200.49162   |          200.491595  |        17 |             |      |    19.49453372  -     25.67654265 | 3s2.3p4.(3P).4p       | 4D*     | 7/2  | 3s2.3p4.(3P).7s        | 4P      | 5/2  |       |                      |  L11520  |
Ar III    |          200.68505   |          200.68507   |         5 |             |      |    23.4802302   -     29.6562802  | 3s2.3p3.(2P*).3d      | 3P*     | 2    | 3s2.3p3.(2P*).4p       | 3S      | 1    |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar IV     |          200.6890    |          200.6907    |         6 |             |      |    31.75084     -     37.926716   | 3s2.3p2.(3P).4s       | 2P      | 1/2  | 3s2.3p2.(1D).4p        | 2D*     | 3/2  |       |                      |  L11418  |
Ar II     |          200.7178    |          200.716909  |         1 |             |      |    19.76226091  -     25.93733129 | 3s2.3p4.(3P).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          201.1141    |          201.113972  |         1 |             |      |    19.80108640  -     25.96396700 | 3s2.3p4.(3P).4p       | 2P*     | 1/2  | 3s2.3p4.(3P).6d        | 2D      | 3/2  |       |                      |  L14821  |
Ar II     |          201.4311    |          201.430870  |         1 |             |      |    18.06063973  -     24.21382608 | 3s2.3p4.(3P).3d       | 2P      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar II     |          201.53171   |          201.531681  |         6 |             |      |    19.54901161  -     25.69912045 | 3s2.3p4.(3P).4p       | 4D*     | 5/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
