--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  200.049     |                  200.051141  |     0: |           |      |       4.00165026      -       10.1972682      | 3d3                   | d 2D1      | 3/2  | 3d2.(3F).4f           | 4P*        | 5/2  |       |              |          L5432  |
Ti II     |                  200.663     |                  200.663493  |     1: |           |      |       4.00876904      -       10.1854830      | 3d3                   | d 2D1      | 5/2  | 3d2.(3F).4f           | 2F*        | 7/2  |       |              |          L5432  |
Ti III    |                  200.7360    |                  200.736+    |      4 | 3.4e+08   | D    |      10.035181        -       16.209672       | 3p6.3d.4p             | 3P*        | 1    | 3p6.3d.4d             | 3S         | 1    |       |        T1216 |          L3593  |
Ti III    |                  200.7604    |                  200.759+    |      2 | 1.2e+08   | D    |      10.035885        -       16.209672       | 3p6.3d.4p             | 3P*        | 0    | 3p6.3d.4d             | 3S         | 1    |       |        T1216 |          L3593  |
Ti II     |                  200.778     |                  200.77797   |     0: |           |      |       4.00165026      -       10.1748429      | 3d3                   | d 2D1      | 3/2  | 3d2.(3F).4f           | 2P*        | 1/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti XV     |                              |                  200.83      |        | 1.1e-01   | E    |      88.3112          -       94.4829         | 2s.2p5                | 3P*        | 2    | 2s.2p5                | 3P*        | 0    | E2    |    T3827,u14 |                 |
Ti III    |                  201.0800    |                  201.080+    |      6 | 5.4e+08   | D    |      10.045754        -       16.209672       | 3p6.3d.4p             | 3P*        | 2    | 3p6.3d.4d             | 3S         | 1    |       |        T1216 |          L3593  |
Ti II     |                  201.20690   |                  201.206959  |      8 |           |      |       3.09479323      -        9.25482612     | 3d.4s2                | c 2D       | 3/2  | 3d2.(3F).5p           | 2D*        | 5/2  |       |              |            u37  |
Ti II     |                  201.2721    |                  201.272145  |      2 |           |      |       4.00165026      -       10.15968837     | 3d3                   | d 2D1      | 3/2  | 3d2.(3F).4f           | 4F*        | 5/2  |       |              |            u37  |
Ti V      |                  201.7614    |                  201.76+     |      1 |           |      |      55.01832         -       61.16147        | 3s2.3p5.4s            | 1P*        | 1    | 3s2.3p5.4p            | 3D         | 1    |       |              |          L3693  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  201.805     |                  201.804346  |     0: |           |      |       1.22137013      -        7.3631705      | 3d3                   | a 2P       | 1/2  | 3d.(2D).4s.4p.(3P*)   | 2P*        | 3/2  |       |              |          L5432  |
