---------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |   Landé | Leading percentages                            | Reference
-----------------------|-----------|-----|----------------------------|---------|------------------------------------------------|-----------
                       |           |     |                            |         |                                                |           
3d2.4s2                | a 3F      |   2 |             0.000          |   0.666 | 100                                            |    L17885
                       |           |   3 |             0.02109378     |   1.083 | 100                                            |    L17885
                       |           |   4 |             0.0479663      |   1.250 | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4s            | a 5F      |   1 |             0.8129437      |   0.00  | 100                                            |    L17885
                       |           |   2 |             0.8181426      |   0.99  | 100                                            |    L17885
                       |           |   3 |             0.8258595      |   1.25  | 100                                            |    L17885
                       |           |   4 |             0.8359952      |   1.35  | 100                                            |    L17885
                       |           |   5 |             0.8484192      |   1.41  | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s2                | a 1D      |   2 |             0.8995494      |   1.02  |  96                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s2                | a 3P      |   0 |             1.0460073      |         |  92         :     7  3d3.(2P).4s          3P   |    L17885
                       |           |   1 |             1.0529261      |   1.50  |  92         :     7  3d3.(2P).4s          3P   |    L17885
                       |           |   2 |             1.06655473     |   1.49  |  90         :     7  3d3.(2P).4s          3P   |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4F).4s            | b 3F      |   2 |             1.4297561      |   0.67  | 100                                            |    L17885
                       |           |   3 |             1.44315261     |   1.08  | 100                                            |    L17885
                       |           |   4 |             1.4601386      |   1.26  |  98                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s2                | a 1G      |   4 |             1.5024892      |   0.98  |  90         :     8  3d3.(2G).4s          1G   |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4s            | a 5P      |   1 |             1.7335189      |   2.50  | 100                                            |    L17885
                       |           |   2 |             1.7393044      |   1.82  | 100                                            |    L17885
                       |           |   3 |             1.7488757      |   1.66  | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4s            | a 3G      |   3 |             1.8731670      |   0.74  | 100                                            |    L17885
                       |           |   4 |             1.8792039      |   1.06  | 100                                            |    L17885
                       |           |   5 |             1.8870882      |   1.21  | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(3P*)   | z 5G*     |   2 |             1.9685071      |   0.336 | 100                                            |    L17885
                       |           |   3 |             1.9807258      |   0.921 | 100                                            |    L17885
                       |           |   4 |             1.9968989      |   1.152 | 100                                            |    L17885
                       |           |   5 |             2.0169105      |   1.258 | 100                                            |    L17885
                       |           |   6 |             2.0406151      |   1.333 | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3F).4s.4p.(3P*)   | z 5F*     |   1 |             2.0850621      |   0.001 |  96                                            |    L17885
                       |           |   2 |             2.0922487      |   1.001 |  95                                            |    L17885
                       |           |   3 |             2.1029508      |   1.251 |  97                                            |    L17885
                       |           |   4 |             2.1170622      |   1.346 |  98                                            |    L17885
                       |           |   5 |             2.1344363      |   1.401 |  99                                            |    L17885
                       |           |     |                            |         |                                                |           
